Transporter,Address,Numbers,Contact Person
SUNNY ROAD CARRIER,"by pass road sec -18 - near jeevan dharam kanta- old faridabad , faridabad","Contact No : 9911860002, 8750860002, 9911490002, , 9911490002",Contact Person : surjit singh
HARYANA UP FREIGHT CARRIERS,"plot no. 11- main ajronda road sec - 15 a- faridabad , faridabad","Contact No : 9250408089, 9310008089, 9350008089, 7678342267, 8375098924, 0129, 2282478, 9250408089",Contact Person : ajeet singh| shubham singh
JAI MAA KALKA LOGISTICS,"c-26- sector 11- near dhobi ghat- faridabad , faridabad","Contact No : 9873131234, 8800456734, 9873131234",Contact Person : hardik
ATLAS GOODS CARRIER,"plot number-2116 sector-28 , faridabad","Contact No : 9810135071, 9810735071, 9810547170, 01294049745, 6, 9810135071",Contact Person : ajay goel
ATLAS GOODS CARRIER,"plot number-2116 sector-28 , faridabad","Contact No : 9810135071, 9810735071, 9810547170, 01294049745, 6, 9810135071",Contact Person : ajay goel
SHYAMA FREIGHT CARRIER,"18/4 mathura road- faridabad , faridabad","Contact No : 9873989093, 9812903199, , 9873989093",Contact Person : davinder bainsla
SUNNY ROAD CARRIER,"by pass road sec -18 - near jeevan dharam kanta- old faridabad , faridabad","Contact No : 9911860002, 8750860002, 9911490002, , 9911490002",Contact Person : surjit singh
OM SAI NATH CARRIERS,"krishna colony opp.plot no.81 sec 25 near bharat dharm kanta , faridabad","Contact No : 9350529703, 9718665007, 9899259109, 9899314450, , 9899314450",Contact Person : v.k.maheshwari
UDAY TRANSPORT COMPANY,"plot no. 11 sector - 15 a- ajronda road- faridabad , faridabad","Contact No : 9350230241, 9911289100, 01292260160, 4013105, 9350230241",Contact Person : charan singh
JAI MAA KALKA LOGISTICS,"c-26- sector 11- near dhobi ghat- faridabad , faridabad","Contact No : 9873131234, 8800456734, 9873131234",Contact Person : hardik
AMIT ROADLINES,"sector-59-jharsently jajru more- near bharat petrol pump- ballabgarh , faridabad","Contact No : 9911152493, 9457732493, 8218085308, ,",Contact Person : arvind thakur
I VENTURES CAPITAL CORPORATE OFFICE,"128- first floor- charmwood plaza- eros garden- charmwood village- faridabad - 121001 , faridabad","Contact No : , 129, 4174700,",Contact Person : mr. praveen bansal
SANKALP ROAD CARRIER,"17/6 sarpanch colony main mathura road faridabad , faridabad","Contact No : 9971564111, 9540564111, , 9540564111",Contact Person : deepak pandey
PRACHI ROAD LINES,"shop no. 7 bata fly over nit faridabad , faridabad","Contact No : 9811293022, 9818643022, , 9811293022",Contact Person : balbir singh
GS LOGISTICS FARIDABAD,"1c/4a nit faridabad , faridabad","Contact No : 9716010102, , 9811923095",Contact Person : gaurav soni
K. R. LOGISTICS (REGD.),"17/6- 1st floor- mathura road (sarpanch colony)- faridabad , faridabad","Contact No : 9811864753, 9910322885, ,",Contact Person : n k jangra
GS LOGISTICS FARIDABAD,"1c/4a nit faridabad , faridabad","Contact No : 9716010102, , 9811923095",Contact Person : gaurav soni
SURESH ROADLINES,"faridabad- haryana , faridabad","Contact No : 9350602323, , 7428222778",Contact Person : nikhlesh
MUSTAK CRANE SERVICE,"shop no. 22� mathura road�faridabad- delhi -121001 , faridabad","Contact No : 9811457059, 9811977762, ,",Contact Person : mustak
BHAI JI CRANE SERVICE,"shop no. 2a� sector 6- matura road faridabad- delhi -121001 , faridabad","Contact No : 9873366037, 9953608199, ,",Contact Person : saleem khan
CAREWAY CARGO CARRIERS,"8/1�ajronda- delhi -121007 , faridabad","Contact No : , 011 , 22225953,",Contact Person : NULL
THE INNOVESTOR,"faridabd , faridabad","Contact No : 9910077555, ,",Contact Person : NULL
FARIDABAD CRANE SERVICE,"b804-� pali badkhal road�faridabad- delhi -121001 , faridabad","Contact No : 9910868684, 9910868684, ,",Contact Person : imran khan
