Transporter,Address,Numbers,Contact Person
MOR MOTOR,"n.h. vill-more sahaba kkr , ambala","Contact No : 9541909077, ,",Contact Person : NULL
SRI HARIOM LOGISTICS,"near model town crossing ambala , ambala","Contact No : 9315626365, ,",Contact Person : NULL
DELHI RAJASTHAN TRANSPORT CO.LTD.,"s.no.4-6- jaggi complex model town ambala , ambala","Contact No : 9355193196, 2446124,",Contact Person : NULL
AHMEDABAD BENGAL ROADWAYS PVT.LTD.,"v.p.o. mohra n.h.1- ambala , ambala","Contact No : 9315112077, ,",Contact Person : NULL
NORTHARN CARRIERS (P) LTD.,"model town crossing road jai nagar ambala , ambala","Contact No : 9416308622, ,",Contact Person : NULL
VIKASH ROAD CARRIERS LTD.,"14- jaggi complex sena nagar ambala , ambala","Contact No : 9354011626, ,",Contact Person : NULL
NEW GROVER TRANSPORT,"main market saha- naraingarh- ambala city- ambala , ambala","Contact No : 9034187435, 9896500371, ,",Contact Person : NULL
NEW KOHLI HIGHWAY CARRIERS (REGD.),"40- jaggi complex senanagar ambalacity , ambala","Contact No : 9896738127, 2520993,",Contact Person : NULL
BLR LOGISTIK (L)LTD.,"5- jaggi complex senanagar ambala city , ambala","Contact No : 9315101037, 9829200809, ,",Contact Person : NULL
JAIPUR GOLDEN TRANSPORT COMPANY,"g.no.2- shiv transport ambala , ambala","Contact No : 9416028104, 3202104,",Contact Person : NULL
HIMACHAL KASHMIR GOODS TRANSPORT CO.,"28-29- shiv transport nagar chd road ambala , ambala","Contact No : 9813052614, 6534614,",Contact Person : NULL
JAIN GOODS CARRIERS,"kuldeep nagar ambala cantt. , ambala","Contact No : 9255290538, 2611061,",Contact Person : NULL
T&S LOGISTICS PVT.LTD.,"shiv nagar ambala , ambala","Contact No : 9355064629, 2442943,",Contact Person : NULL
V.R.L. LTD.,"kuldeep nagar ambala cantt. , ambala","Contact No : 9315101963, ,",Contact Person : NULL
PATEL INTER GRACDED LOGISTICS,"naryan garh chd road g-t road sahabad , ambala","Contact No : 9315395470, 3201964,",Contact Person : NULL
THE BHARAT MOTOR TRANSPORT (P) LTD.,"kuldeep nagar ambala cantt. , ambala","Contact No : 9813353306, ,",Contact Person : NULL
DELHI PUNJAB GOODS CARRIERS (P) LTD.,"chd. road baldev nagar ambala city , ambala","Contact No : 9354537036, 2543540,",Contact Person : NULL
