Transporter,Address,Numbers,Contact Person
SHREE HANUMAN PRASAD TRANSPORT CO.,"shpo no 3 near punjab national bank bhandara road kapsi khurd , nagpur","Contact No : 9860811691, ,",Contact Person : vishwajit patil
NEW ASSOCIATED ROAD CARRIERS PVT.LTD.,"homraj patel building amravati road wadi nagpur-23 , nagpur","Contact No : 9422146158, 07104220911,",Contact Person : omprakash mishra
J.K.TRANSPORT CORPORATION,"214-old bhandara road-wardhaman nagar- nagpur-08 , nagpur","Contact No : 9881880444, 3244144,",Contact Person : amanpal singh vij
AEROWINGS PACKERS & MOVERS,"behind papa patel building- amravati road- wadi- nagpur , nagpur","Contact No : 9423681014, 9371709444, ,",Contact Person : rs upase
NEW SATSANG ROADLINES,"kamptee road- teka naka- nagpur , nagpur","Contact No : 9423106553, 8600755254, 9422101846, 9975216853, 2641988, 2650588, 2640028,",Contact Person : sukhvinder singh gill
CUTTACK FAST CARRIERS,"behind gurunanak engineering- kapsi khurd- bhandara road- nagpur , nagpur","Contact No : 9921731515, 07109, 278145, 278572, 0712, 6560312,",Contact Person : rashpal singh (rinku)
H P ENGINEERING & SERVICES,"plot no.165- umrer nagpur bypass road-itwari b post umrer- nagpur - 441203 , nagpur","Contact No : 9422124190, ,",Contact Person : mr. habib shammi patel
VARMA TRACTORS,"no. 235- wardhaman nagar- nagpur - 440008 , nagpur","Contact No : 9822222344, ,",Contact Person : NULL
INDIAN TRANSCO ROADWAYS,"prabhu society opp. punchsheel petrol pump amravati road- waddhamana- nagpur , nagpur","Contact No : 9325778867, 9422820867, 9373020867, 9325856067, 07104, 324767, 327967, 323267,",Contact Person : rd sharma
DELHI FREIGHT CARRIERS,"jalal pura- gandhi bagh- nagpur , nagpur","Contact No : 9373102128, 9810264215, 2768131, 2770241, 3215455,",Contact Person : quyyum khan
UNITED INDIA INSURANCE CO.LTD,"no - 284- shankar nagar- nagpur - 440010 , nagpur","Contact No : 9890073262, 712, 253481,",Contact Person : mr. shrikant deshpandey
MONOPOLY CARNIIERS & CARGO PVT. LTD.,"2nd floor- bhagwagar compex-opp davani daramshala- c a road- nagpur - 440018 , nagpur","Contact No : , 712, 2769290,",Contact Person : mr. ratan agarwal
RELOGISTICS VIDHARBHA PVT. LTD.,"block no 10 11 12 mangalwari complex�sadar- nagpur -440001 , nagpur","Contact No : 9922478911, 0712 , 6450811,",Contact Person : sunil choudhari
SKS LOGISTIC,"plot no.5- triveni complex- shivshakti nagar- opp. dattawadi police station- wadi , nagpur","Contact No : 9326851293, ,",Contact Person : satish kumar singh
SHUBHAM ROAD CARRIERS,"52- triveni complex- near wadi police station- dattawadi- amravati road- nagpur , nagpur","Contact No : 9096917549, 07104, 323678, 07104, 224857,",Contact Person : niraj c dubey
PHOENIX MARITIME SERVICES PRIVATE LIMITED,"uday business services- 85 canal road- ramdaspeth- nagpur - 440010 , nagpur","Contact No : 9923377704, 712, 2451979, 6450747, 6612267,",Contact Person : ms. kalpana kadu
MONOPOLY CARRIERS & CARGO PVT. LTD.,"2nd floor- bhagwagar complex- c.a. road�central avenue- nagpur -440018 , nagpur","Contact No : , 0712 , 2769290,",Contact Person : suraj agrawal
TRANSWEL OF INDIA,"triveni complex - opp.duttawadi police station -amravati road -duttawadi-nagpur , nagpur","Contact No : 9823099244, 07104221522,",Contact Person : ramraj mishra
ADARSH ROADLINES PVT LTD,"mandule house plot no 31 juna bagad ganj nr devi temple old bhandra road nagpur 08 , nagpur","Contact No : 9823708521 985028057, 07122736643,",Contact Person : j p yadav( branch maneger)
JAISWAL TRADING CO.,"block no.2/3- plot no.8- near bajaj college wcl road old jaripatka nagpur , nagpur","Contact No : 9370203308, 9370313308, 7620933308, 0712, 2632074, 07104, 327908,",Contact Person : deepak jaiswal
VENKATESH LOGISTICS PRIVATE LIMITED,"shop no.65 rajat arcade amravati road wadi , nagpur","Contact No : 9372655373, ,",Contact Person : r.s. mourya
SUPREME TRANSPORT CORPORATION,"1132/33- central avenue road- nagpur , nagpur","Contact No : 9326927788, 9552244425, 6617788, 2724066, 9811565083",Contact Person : roshan r tayal
RP GUPTA TRANSPORT PVT. LTD.,"plot no.x-261- opp. indorama synthetics ltd. midc butibori nagpur , nagpur","Contact No : 9370654555, 9370216555, 23482348, 23484466, 43224444,",Contact Person : vinod kaswan
HBJ FINANCIAL,"chamber no. 7- yogeshwer apartment- ram nagar- nagpur - 440033 , nagpur","Contact No : 9960628026, 712, 6600984,",Contact Person : mr. bharat rathod
GURUSEWAK TRANSWAYS,"shop no.10- nishan crane building- kapsi bhandara road kapsi nagpur , nagpur","Contact No : 9322508919, 9860544469, ,",Contact Person : ramnivas sharma
MAHVEERA TRANSPORT PVT. LTD.,"plot no.52- samaj bhushan society tawakkal layout- wadi nagpur , nagpur","Contact No : 9326173415, 9763228243, 9372338243, 07104, 321921,",Contact Person : sp pandey
PCM FINANCIAL SERVICES,"shop no.8- basement- tulsi appartment- near telephone exchange- nagpur - 440008 , nagpur","Contact No : 9890303891, 712, 2720091,",Contact Person : mr. ravi kumar mundra
GUJRAT ROADWAYS,"bhandara road�itwari- nagpur -440002 , nagpur","Contact No : , 0712 , 2760847,",Contact Person : aabed rizvi
ANMOL LIFE CARE & SECURE MARKETING SERVICES LTD.,"anmol tower- 171/a-2- in front of mahatma fule school- cement road- vaishali nagar- nagpur - 440017 , nagpur","Contact No : 9325786920, 712, 2634900,",Contact Person : mr. javed memon
BLUEBELT LOGISTICS SOLUTIONS PVT LTD,"201-ramkrishna apartment- gokulpeth-nagpur , nagpur","Contact No : 8149022226, , 8149022226",Contact Person : shrenik mundada
OM INTERNATIONAL PACKERS & MOVERS,"plot no.14- verma layout behind patel roadwys ltd.- khandgaon road- wadi nagpur , nagpur","Contact No : 9370530743, 07104, 288507,",Contact Person : vp singh
BLUEBELT LOGISTICS SOLUTIONS PVT LTD,"201-ramkrishna apartment- gokulpeth-nagpur , nagpur","Contact No : 8149022226, , 8149022226",Contact Person : shrenik mundada
KRUPA ROAD CARRIERS,"midc- t-point- jawahar lal nehru college road- amravati road- wadi- nagpur , nagpur","Contact No : 9823082426, 9372269117, ,",Contact Person : rupesh zade
BANGALORE LORRY TRANSPORT,"near new arc highland park gate no.2- waddhamana- amravati road nagpur , nagpur","Contact No : 9326893048, 9890881388, 07104, 240393, 240070, 0712, 3290585,",Contact Person : vishnu om sharma
EMPIRE TRANSPORT CORPORATION,"jai appartment chapru chowk- ca road- lakarganj- nagpur , nagpur","Contact No : , 0712, 2769310, 2774045, 3294545, 2733589,",Contact Person : rn sharma
J.K.TRANSPORT CORPORATION,"214-old bhandara road-wardhaman nagar- nagpur-08 , nagpur","Contact No : 9881880444, 3244144,",Contact Person : amanpal singh vij
RAJESH MOTORS,"5 shukh sagar complex old bhandara road , nagpur","Contact No : 9822578162, 9922586322,",Contact Person : rajesh jairath
TEAM TRANS LOGISYICS PVT.LTD.,"ma santoshi bhawan 2nd floore opp.hotel payal amarwati road wadi nagpur , nagpur","Contact No : 9890817065, ,",Contact Person : dharmendra
MAHARASHTRA CALCUTTA ROADWAYS,"320-�bababudhaji nagar�kamptee road- nagpur -440017 , nagpur","Contact No : 9422109075, 0712 , 2646575,",Contact Person : kulwinder mangat
DHAIN AUTO CARRIERS,"ghate building opp. naka no.1- amravti road- wadi- nagpur , nagpur","Contact No : 9325085371, 8600106215, 9423739892, ,",Contact Person : brij bhushan gupta
KHANDESH TRANSPORT CO.,"chikhali layout- near fire brigade- kalamna road- nagpur , nagpur","Contact No : 9421801454, 9421801123, 9420410374, 2682370, 2682371, 2684647,",Contact Person : allah rakha khan
RAJ KAMAL PACKERS & MOVERS,"tv tower chowk wcl road- manavta nagar- nagpur , nagpur","Contact No : 9373127637, ,",Contact Person : raju bhai
ASIS LOGISTICS LTD.,"shop no.4- 2nd floor rajat arcade building- opp. mehta complex- amravati road- t-point wadi- nagar , nagpur","Contact No : 9970678227, 9371936355, 9223660777, ,",Contact Person : vinod dubey
BHARAT SHIPING AGENCY,"5�sadar- nagpur -440001 , nagpur","Contact No : 9225223683, ,",Contact Person : prakash khemka
NEW PINDI ROADWAYS,"gujarat braham samaj building- gandhi bagh- nagpur , nagpur","Contact No : 9823089075, 9370969724, 0712, 2769724,",Contact Person : NULL
SHREE HANUMAN PRASAD TRANSPORT CO.,"shpo no 3 near punjab national bank bhandara road kapsi khurd , nagpur","Contact No : 9860811691, ,",Contact Person : vishwajit patil
EMPIRE TRANSPORT CARRIERS,"c a road behind dena bank , nagpur","Contact No : 9422110229, 07122730860, 2730861,",Contact Person : j p sharma
PRAKASH HOUSE HOLD CARRIERS,"NULL , nagpur","Contact No : 9822941918, 0712, 2526854,",Contact Person : NULL
JET AIR PVT. LTD.,"landmark building�ramdas peth- nagpur -440012 , nagpur","Contact No : , 0712 , 6617888,",Contact Person : naresh goal
BUHARIWALA LOGISTICS,"no. 25- ground floor� wardha road- nagpur -440015 , nagpur","Contact No : , 0712 , 2294241,",Contact Person : NULL
DAMANI SHIPPING PVT. LTD.,"2nd floor� gokul keshav apartment- deo nagar square�khamla road- nagpur -440015 , nagpur","Contact No : 9373289755, 0712 , 2221941,",Contact Person : hamid maskati
RELIABLE TRANSPORT COMPANY,"grain retail shop no.10- building no.7- dhan bazar by pass road- kalamana- nagar , nagpur","Contact No : 9970365555, 9370098401, 0712, 2680867,",Contact Person : sikandar arif khan
AIR INDIA CARGO,"airport�sonegaon- nagpur -440025 , nagpur","Contact No : , 0712 , 2282392,",Contact Person : i j k dass
JAI AMBEY LOGISTIC.CO,"124- kapsi khurd- near saibaba katta- bhandara road- , nagpur","Contact No : 9823014351, 07109278131,",Contact Person : rajesh tripathi
CENTRAL INDIA TRANS LOGISTICS,"near tci khadgaon road- wadi nagpur , nagpur","Contact No : 9860968015, 9970659165, 07104, 321529, 222523,",Contact Person : ss shekhawat
GULSHAN FREIGHT CARRIERS,"shop no.2- plot no.86- jai ganesh apartment- bhandara road- napgur , nagpur","Contact No : 9765859286, 9373102092, 9373732289, 2684150, 3241186,",Contact Person : bablu bhai
HISSAR GAUHATI TRANSPORT CO,"c/o jai ambe weigh bridge wardhamna , nagpur","Contact No : 9372632660, 9326931375, 9823157355",Contact Person : naveen sharma
PAWAN ROAD CARRIER,"shree hari building amravati road naka 10 wadi , nagpur","Contact No : 9370671097, 2500416,",Contact Person : p.r. chandrvanshi
ARLROLINES,"houseno 4156 addarsh nagar wadi , nagpur","Contact No : 9326933151, 07123225033,",Contact Person : junaid
SAHARA DOMESTIC & INTERNATIONAL PACKERS MOVERS,"NULL , nagpur","Contact No : 9325056333, 0712, 2230339,",Contact Person : NULL
NAGPUR DELHI TRANSPORT CO. PVT. LTD.,"777- jalalpura centre avenue road- nagpur , nagpur","Contact No : 9373108671, 277221, 2779771, 3257771,",Contact Person : manjinder singh
PUROHIT TRANSPORT AGENCIES,"near vijay talkies- ghat road- nagpur , nagpur","Contact No : 9422106255, 7350258145, ,",Contact Person : deepak purohit
MALWA TRANSPORT & CRANE SERVICES,"amravati road�wadi- nagpur -440023 , nagpur","Contact No : 9373401313, ,",Contact Person : jaswindersingh
NEW BOMBAY ROADLINES PVT.LTD,"papa patel complex shop no2 amravati rd wadi , nagpur","Contact No : 9371329395, 07104329395,",Contact Person : ravi
UNIGROUP WORLDWIDE UTS,"plot no. 93- house no. 6971- tawakkal layout- kantol ring road- samaj bhusan society� wadi- nagpur -440023 , nagpur","Contact No : 9370375429, 022 , 21663151,",Contact Person : arun
PUNJAB BENGAL ROADLINES,"bh tower- plot no.32- new sayona public school- kamptee road nagpur , nagpur","Contact No : 9890212376, 9823102677, ,",Contact Person : jasvinder singh saini
ASSOCIATE ROAD CARRIER LTD.,"3rd floor- sadoday complex- 77 ca road extn. nagpur , nagpur","Contact No : , 2768969, 3252762, 3262460,",Contact Person : NULL
LUCKY FREIGHT CARRIERS,"48-shivshakti bhawan -near tci petrol pump - amrawati road waddhamana , nagpur","Contact No : 9822604042, 9371245913, 9765251335,",Contact Person : sunil pandey
NEW INDIA PACKERS & MOVERS,"61- gangabai ghat road- near baba nanak high school- nagpur , nagpur","Contact No : 9373115517, 2779109, 3241577,",Contact Person : surender choudhary
GORDON WOODROFFE LOGISTICS LTD.,"no. 907/a� lokmat bhavan- ramdaspeth�wardha road- nagpur -440010 , nagpur","Contact No : , 0712 , 2424612,",Contact Person : NULL
TULI TRANSLOGISTICS,"m.a.k. azad school building- gandhibagh nagpur , nagpur","Contact No : 9922988100, ,",Contact Person : harkaran singh
BLUE DART EXPRESS LTD.,"no. 179� andhra association building�north ambazari road- nagpur -440010 , nagpur","Contact No : , 0712 , 2543439, 0712 , 2544021,",Contact Person : NULL
MAHESHWARI PACKERS & MOVERS,"near ratrani bar amravati road- wardhamana- nagpur , nagpur","Contact No : 9821407836, 9890897544, ,",Contact Person : rk tiwari
LAKHOTIA TRANSPORT CO. PVT. LTD.,"block no.3- opp. punchsheel petrol pump- amravati road- waddhamana- nagpur , nagpur","Contact No : 9371459681, 07104, 645209, 323155, 280035, 240082,",Contact Person : manoj kumar singh
SHENGAI FAST CARRIER,"lichade bhawan- khadgaon road- wadi nagar , nagpur","Contact No : 9371092872, ,",Contact Person : rajashekar
RAVI ROADLINES NAGPUR,"403 jivandeep society 85 central acenue road near ambedkar square nagpur , nagpur","Contact No : 9764093192, 9370767728,",Contact Person : ravi agrawal
TEJAS TRADING COMPANY,"102- abhijit mansion 6- shastri layout- mouza khamla- nagpur - 440025 , nagpur","Contact No : 9860332436, 712, 2289871,",Contact Person : mr. jitesh chamanlal nayyar
BHAGAT PACKERS & MOVERS,"ramai nagar- ring road- nagpur , nagpur","Contact No : 9763343841, 9822221481, 0712, 2645181,",Contact Person : ganesh
GMMCO LTD,"g-15- midc- hingna road- nagpur - 440028 , nagpur","Contact No : 9764387206, 7104, 305524,",Contact Person : mr. balasubramani
AVONE TRANSPORT ORGANISATION,"tawakkal layout sb society wadi- nagpur , nagpur","Contact No : 9371400559, 9371674177, 07104, 221984, 223466,",Contact Person : NULL
VIKRAM PACKERS & MOVERS,"99- dayalu society wcl road- nagpur , nagpur","Contact No : 9372302552, 2630895,",Contact Person : NULL
MARUTI FREIGHT,"no. 1127� central avenue�gandhi baug- nagpur -440002 , nagpur","Contact No : 9320384165, ,",Contact Person : NULL
HINDUSTAN ROADLINES,"opp. wadi police station- plot no.675- wadi- nagpur , nagpur","Contact No : 9373568887, 9373205824, 07104, 220044, 322022,",Contact Person : sikander bhai
AWAGAMAN ROAD CARRIERS LIMITED,"plot no.114- vikas nagar khadgaon road- wadi- nagpur , nagpur","Contact No : 9373129247, 9326060234, 07104, 322699,",Contact Person : mk dash
