Transporter,Address,Numbers,Contact Person
NEW AJANTA ROADWAYS,"661- e- shahupuri 2nd lane kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
NEW BIJAPUR TRANSPORT CO.,"578- lst lane manoj plaza gala no.1 shahupuri , kolhapur","Contact No : , 2656149,",Contact Person : NULL
GURUKRIPA ROADLINES,"plot no.143- opp. kolhapur steel p.b. road nagaon , kolhapur","Contact No : , 3203340,",Contact Person : NULL
SURAT GOODS TRANSPORT PVT.LTD.,"amrut complex opp- goods years (i) ltd.near chavan steel p.b. road shiroli kolhapur , kolhapur","Contact No : 9371125552, 2461989,",Contact Person : NULL
BLUECHIP CORPORATE INVEST CENTER LTD.,"no. 517/2- e ward� gemstone�new shahapuri- kolhapur -416002 , kolhapur","Contact No : , 0231 , 2667767, 0231 , 9999999,",Contact Person : NULL
VIJAYANAND ROADLINES LTD.,"plot no.8- midc- shiroli kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
KERLA TRANSPORT CO.,"block no.112. nagaon phata p.b. shiroli kolhapur , kolhapur","Contact No : , 2468358, 2469345,",Contact Person :
M.K. MEHENDALE TRANSPORT PVT.LTD.,"plot no.1431- nagaon phata shiroli kolhapur , kolhapur","Contact No : 9881252938, 98224795, ,",Contact Person :
IFFCO- TOKIO GENERAL INSURANCE CO LTD.,"no. g-2� tarabai park- kolhapur -416003 , kolhapur","Contact No : , 0231 , 6452620,",Contact Person : mr jairaj m. bhosale
THE UGAR ROADLINES,"504/2/a- e.ward shahupuri tokke building kolhapur , kolhapur","Contact No : 9372918147, 2653640,",Contact Person : NULL
PATER ROADWAYS,"plot no. 50/1- 2nd lane� c/o m.g. potdar�jaysingpur- kolhapur -416101 , kolhapur","Contact No : 9370441010, ,",Contact Person : NULL
MAHARASHTRA ROADWAYS,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : 9371118461, 3919194,",Contact Person : NULL
AITCO MOVERS PVT.LTD.,"no.292- p.b. road n.h.4- sangali cross shiroli kolhapur , kolhapur","Contact No : , ,",Contact Person : vilasrao patil
MAHALAKSMI LOGISTICS PVT.LTD.,"plot no.256- nagaon phata shiroli kolhapur , kolhapur","Contact No : 9326601051, 3297558,",Contact Person : NULL
SWAMI ROADLINES PACKERS AND MOVERS,"plot no 53 atul shah building- shri shahu market yard- near market yard police station , kolhapur","Contact No : 9326528262, 0231, 2010062,",Contact Person : NULL
VIPRA SERVICES (I) PVT. LTD.,"empire tower- dasara chowk- station road�karveer- kolhapur -416012 , kolhapur","Contact No : 9822097851, 0231 , 2642701,",Contact Person : v.r. jadhav
MAHAVIR ROADLINES,"752- e. balkrishan aprt.gala no.5- shahupuri kolhapur , kolhapur","Contact No : 9422412907, 2652437,",Contact Person : NULL
HASAN TRANSPORT,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : , 2612956,",Contact Person : NULL
NORTH EASTERN CARRYING CORP.LTD.,"seeta sadani indra nagar ichalkanji , kolhapur","Contact No : 9326190555, ,",Contact Person : NULL
AVINASH CARRIER PVT.LTD.,"plot no.294- opp. datta mandir nagaon siroli kolhapur , kolhapur","Contact No : 8975755230, ,",Contact Person : NULL
