Transporter,Address,Numbers,Contact Person
THE BHARAT MOTORS TRANSPORT PVT.LTD.,"346- ind- area phase-1 panchkula , chandigarh","Contact No : , ,",Contact Person : NULL
PALAMPUR MANALI TRANSPORT CO.,"14- transport area sec-26- chd. , chandigarh","Contact No : 9216596392, 5006392,",Contact Person : NULL
CHANDIGARH BILASPUR ROADLINES,"322. b.d. colony transport area chandigarh , chandigarh","Contact No : 9417315367, 5006377,",Contact Person : NULL
DOBBA TRANSPORT CO.(REGD.),"p.no.26- transport area chandigarh , chandigarh","Contact No : , ,",Contact Person : NULL
AHUJA FREIGHT CARRIERS (REGD.),"636- near h.p. gas agency dariya chd. , chandigarh","Contact No : 9356356228, 779062328,",Contact Person : NULL
MARUTI EXPRESS PACKERS & MOVERS PVT. LTD.,"sco-7- arihant building� zirakpur- chandigarh -160004 , chandigarh","Contact No : 9357718650, ,",Contact Person : vijaypal singh
CALCUTTA CHANDIGARH TRANSPORT,"35- new timber market. sec-26- chd. , chandigarh","Contact No : 9888161499, ,",Contact Person : NULL
CALCUTTA CARRIER OF INDIA,"near gas agency sec-26 chandigarh , chandigarh","Contact No : 9357068931, 9711817786, 3198931, 01202420389,",Contact Person : NULL
THE NICE CARRIERS,"5- transport area sec-26- chandigarh , chandigarh","Contact No : , 5006688,",Contact Person : NULL
DEEPA TRANSPORT UNION,"sabzi mandi transport area sec-26- chd. , chandigarh","Contact No : 9815060442, ,",Contact Person : NULL
BHORUKA ROADWAYS (I) PVT. LTD.,"scf-267- motor market complex�manimajra- chandigarh -160102 , chandigarh","Contact No : 9356797733, 0172 , 3247748, 0172 , 2738867,",Contact Person : NULL
PRAKASH PARCEL SERVICE,"ind. area phase-1- panchkula , chandigarh","Contact No : 9356527743, 5066014,",Contact Person : NULL
RANA GOODS CARRIERS,"chandigarh ambala road zirakhpur , chandigarh","Contact No : 9855616262, ,",Contact Person : NULL
QUICK SAFE LOGISTICS,"18- sec-26 transport area chd. , chandigarh","Contact No : 9356322237, ,",Contact Person : NULL
BLUE CHIP CORPORATE INVESTMENT CENTRE LTD.,"1st floor-� sco-80-81-82- sector 34a , chandigarh","Contact No : , 0172 , 4651075, 0172 , 4651076,",Contact Person : NULL
GLOBE ECO LOGISTICS LTD.,"p.no.5- sec-26- transport nagar panchkula , chandigarh","Contact No : 9646597820, ,",Contact Person : NULL
SOOD GOODS TRANSPORT COMPANY(REGD.),"8- ind area phase-1- chandigarh , chandigarh","Contact No : 9317931725, 5088635,",Contact Person : NULL
BOMBAY SIMLA ROADWAYS (REGD.),"vill- darwa chandigarh , chandigarh","Contact No : 9876700733, ,",Contact Person : NULL
CENTURY GLOBAL LOGISTICS PVT.LTD.,"near acc cement godomn darwa chd , chandigarh","Contact No : 9815603485, ,",Contact Person : NULL
UNION ROADWAYS LTD.,"5- transport area chandigarh , chandigarh","Contact No : 9357760296, ,",Contact Person : NULL
AMAN GOODS CARRIERS,"5- transport area sec-26- chandigarh , chandigarh","Contact No : 9780000154, 5074911,",Contact Person : NULL
HARRISONS ENGINEERING INDUSTRIES,"b43- phase 3-� industrial area�industrial area- chandigarh -160002 , chandigarh","Contact No : , 0172 , 2225728,",Contact Person : NULL
ALL INDIA TRANSPORT CARRIERS,"28- transport area sec-26- chd. , chandigarh","Contact No : 9357665317, ,",Contact Person : NULL
NOTHERN CARRIERS PVT.LTD.,"15- transport area chandigarh , chandigarh","Contact No : , 2793679, 5016610, 3256556,",Contact Person :
VARUN INTERNATIONAL LOGISTICS,"guru krupa complex palam enclave zirakhpur , chandigarh","Contact No : 9316160011, ,",Contact Person : NULL
SHIV SHAKTI ROADWAYS,"s.no.1- palam enclave chandigarh road zirakhpur , chandigarh","Contact No : 9803029590, ,",Contact Person : NULL
ECONOMIC SAFE CARGO & MOVERS,"plot no.5. transport area sec-26- chd. , chandigarh","Contact No : 9316517838, 3204838,",Contact Person : NULL
SOUTH LEO PACKERS & MOVERS,"plot no.343- near railway crossing main mazra chd. , chandigarh","Contact No : 9988272510, , 9803544005",Contact Person : NULL
ADVANCE PACKERS & MOVERS,"sco-158- sec45- chandigarh , chandigarh","Contact No : 9815126306, 2606899,",Contact Person : NULL
BEST ROADWAYS LTD.,"sco-17- lst floor amb-chd. road zirakhpur , chandigarh","Contact No : 9216201475, 509977,",Contact Person : NULL
CHET SINGH & SONS,"160- phase-1- industrial area- panchkula- chandigarh , chandigarh","Contact No : , 0172, 2565892,",Contact Person : NULL
SRI BINDARWAN LOGISTICS,"280- ind- area phase-2- panchkula , chandigarh","Contact No : 9779073133, 3262240,",Contact Person : NULL
VINEY ROADLINES,"121- ind. area phase-1 panchkula , chandigarh","Contact No : 9216060835, ,",Contact Person : NULL
ANUJ INDUSTRIES,"plot no-146- industrial area- phase-1- chandigarh , chandigarh","Contact No : 9815040811, 0172, 2655145,",Contact Person : mr sanjeev verma
SUPER SAFE LOGISTICS INDIA PVT.LTD.,"chandigarh ambala road zirakhpur , chandigarh","Contact No : 9915319717, ,",Contact Person : NULL
TCI GROUP,"transport house- 21 transport area- sector - 26- chandigarh - 160019 , chandigarh","Contact No : 9316065881, 172, 2793250, 3244842,",Contact Person : mr. a v bhatt
DELHI MANALI GOODS CARRIERS (REGD.),"booth no.7- transport area sec-26 chd. , chandigarh","Contact No : 9217726085, ,",Contact Person : NULL
ECONOMIC TRANSPORT ORGANISTATION LTD.,"22- transport area- sec-26- chandigarh , chandigarh","Contact No : 9356422843, ,",Contact Person : m.s. jakhar
SHAH TRANSPORT LEASING CORPN.,"palam enclave amb-chd zirakhpur , chandigarh","Contact No : 9814040751, 509551,",Contact Person : NULL
PSR HIGHWAY CARRIERS OF INDIA,"plot no.9- phase-2 ind- area panchkula , chandigarh","Contact No : 9216624121, 6546141,",Contact Person : NULL
CENTRUM,"sco 41-� sector 9 d�madhya marg- chandigarh -160008 , chandigarh","Contact No : , 0172 , 5000194, 0172 , 5000195, 0172 , 5000196,",Contact Person : NULL
AIR TRANSPORT (ASSAM) LTD.,"plot no.33- new timber market chd. , chandigarh","Contact No : 9316882007, ,",Contact Person : NULL
TIVRARGATI TRANSPORT CO.,"26- transport area sec-26- chandigarh , chandigarh","Contact No : 9357006419, ,",Contact Person : NULL
UTTER BHARAT TRANSPORT CO.,"24- transport nagar sec-26- chandigarh , chandigarh","Contact No : 9417317417, 2791022,",Contact Person : NULL
D2D EXPRESS CARGO,"near h.p.gas godown darwa chandigarh , chandigarh","Contact No : 9417200304, 5085012,",Contact Person : NULL
BALAJI TRANSPORT SERVICE,"opp. no.16. showroom sec-26- chd , chandigarh","Contact No : 9888948015, 5006315,",Contact Person : NULL
STAR TRANSPORT CO.,"new timber market chandigarh , chandigarh","Contact No : 9815333316, 5006831,",Contact Person : NULL
VIDHATA TRANSPORT COMPANY (REGD.),"plot no.9- phase-2 ind- area panchkula , chandigarh","Contact No : 9316065758, ,",Contact Person : NULL
LEONORA EXPRESS LOGISTICS PVT. LTD.,"no. 79� nh 2- tribune chowk- industrial area�dakshin marg- chandigarh -160002 , chandigarh","Contact No : 9880940606, ,",Contact Person : NULL
SRI GANESH ROADWAYS,"290- ind. area phase-1- panchkula , chandigarh","Contact No : 9815792575, 2580354,",Contact Person : NULL
EK-ONKAR TRANSPORT COMPANY (REGD.),"5- transport area sec-26- chandigarh , chandigarh","Contact No : 9357116061, ,",Contact Person : NULL
AMRIT SAFE ROADLINES (REGD.),"4- transport area sec-26 chd. , chandigarh","Contact No : 9316033996, 9967655948, 4632731, 22, 66202500,",Contact Person : NULL
LOSISYS INDIA LTD.,"transportarea sec-26- chandigarh , chandigarh","Contact No : , 5006051, 2790331,",Contact Person :
NANDAN CARGO CARRIERS,"6- transport area sec-26. chandigarh , chandigarh","Contact No : 9316021535, ,",Contact Person : NULL
ROYAL LOGISTICS,"42- new timber market- sec-26- chandigarh , chandigarh","Contact No : 9780443055, 9971860497, 9958703055, 1725006255,",Contact Person : sunil beniwal
PUNJAB FREIGHT CARRIERS CARGO (REGD.),"1721- hello mazra chandigarh , chandigarh","Contact No : 9914130931, 6540931,",Contact Person : NULL
