Transporter,Address,Numbers,Contact Person
SINGHLA ROADWAYS PVT.LTD.,"amritsar , amritsar","Contact No : 7696080009, ,",Contact Person : NULL
I.R.C. INDIA LTD.,"14- jai inder singh transport nagar amritsar , amritsar","Contact No : 9317568446, 2552630,",Contact Person : NULL
THE HIND RATTAN LOGISTICS,"inside sherewala gate amritsar , amritsar","Contact No : 9814444503, 2293503,",Contact Person : NULL
VISHWAHIND LOGISTICS LTD.,"transport nagar amritsar , amritsar","Contact No : , 5067977, 2552875,",Contact Person :
GREEN ROADWAYS(REGD.),"73- inside ghee mandi amritsar , amritsar","Contact No : , 2551636,",Contact Person : NULL
RAM GOODS TRANSPORT COMPANY,"s.no.45 near g.t. road transport nagar amritsar , amritsar","Contact No : , 5067425, 22, 40915555,",Contact Person : NULL
NEW BHARAT TRANSPORT ORGANISATION,"inside ghee mandi amritsar , amritsar","Contact No : , 2552612, 2555559,",Contact Person :
B.F.C. ROADLINES,"plot no.8- shaheed bhagat singh road amritsar , amritsar","Contact No : 9356028928, ,",Contact Person : NULL
KHERA TRANSPORT,"t.p. nagar jahajgarh amritsar , amritsar","Contact No : 9216107539, ,",Contact Person : NULL
BANSAL FREIGHT CARRIER,"564. bh. malwadi chilpundi- opp. jahajgarh , amritsar","Contact No : 9356060886, 5059467,",Contact Person : NULL
RAJESH GOODS CARRIERS,"manku market asr , amritsar","Contact No : 9357585540, ,",Contact Person : NULL
CHADDA MOTOR TRANSPORT CO.PVT.LTD.,"inside ghee mandi amritsar , amritsar","Contact No : , 2552773, 6572252,",Contact Person :
AMRITSAR TEMPO UNION (REGD.),"city center chowk asr , amritsar","Contact No : 9781995467, ,",Contact Person : NULL
DELHI PUNJAB GOODS CARRIERS PVT.LTD.,"ghee mandi amritsar , amritsar","Contact No : , 2541508, 3290566, 258113,",Contact Person :
J.K. TRANSPORT CORPORATION,"bazar bakarwana s.b.s. road amritsar , amritsar","Contact No : , 2551245,",Contact Person : NULL
PATHANIA ROADLINES,"65- t.p. nagar jahajgarh opp. pataka market , amritsar","Contact No : 9356037305, 6539307,",Contact Person : NULL
POOJA ROAD LINES,"29- jai inder singh transport jahajgarh amritsar , amritsar","Contact No : , 2585517, 2700082,",Contact Person :
BOMBAY KASMIR ROAD CARRIERS,"transport nagar amritsar , amritsar","Contact No : 9216557333, 2583487,",Contact Person : NULL
JET ROADWAYS GOODS CARRIERS,"transport nagar amritsar , amritsar","Contact No : 9216521376, ,",Contact Person : NULL
P.K. TRANSPORT COMPANY,"shaheed bhagat singh road amritsar , amritsar","Contact No : , 2541169, 2536282,",Contact Person :
DAGAR TRANSPORT CO.,"inside ghee mandi amritsar , amritsar","Contact No : , 2548262,",Contact Person : NULL
NAGPUR FREIGHT CARRIERS,"plot no.65- transport nagar amritsar , amritsar","Contact No : 9356037305, 6539307,",Contact Person : NULL
THE A.D. ROADLINES (REGD.),"near power house ghee mandi amritsar , amritsar","Contact No : 9356511728, 2555162,",Contact Person : NULL
MAND TRADING COMPANY,"bawa market- near grain market- opp dhillon kheti store- railway road- raya- amritsar , amritsar","Contact No : 9888962756, 9780214614, ,",Contact Person : suraj
M S TRADING COMPANY,"shop no-497/8- waddi bhab wasti ram- main wholesale market- dhab- amritsar , amritsar","Contact No : 9915099501, 183, 2525657,",Contact Person : NULL
KUBER LOGISTIC,"majitha road amritsar , amritsar","Contact No : 918010104436, 8010104436,",Contact Person : 8010104436
DEEPAK ROADLINES PVT.LTD.,"pakki gali s.b.s. road amrit , amritsar","Contact No : , 2553517, 2700082,",Contact Person :
THE JALANDHAR EX-SERVICEMAN MOTOR TPT.,"s.b.s. road amritsar , amritsar","Contact No : , 2543271, 2702952,",Contact Person :
