Transporter,Address,Numbers,Contact Person
GURU KIRPA ROADWAYS.,"opp. pnb bank-bibi wala chowk bathinda , ludhiana","Contact No : 7814380001, 9569712012, 01645011201, 7814380001",Contact Person : gurcharan singh
GARCHA TRANSPORT COMPANY,"near bhogal cycle gt road dhandari kalan ludhiana , ludhiana","Contact No : 9878878508, 9878850823, 9878878508",Contact Person : toni garcha
GURU KIRPA ROADWAYS.,"opp. pnb bank-bibi wala chowk bathinda , ludhiana","Contact No : 7814380001, 9569712012, 01645011201, 7814380001",Contact Person : gurcharan singh
BALA JI TRANSPORT CO.,"near court complex patran road moonak(sangrur) , ludhiana","Contact No : 9914834588, 9417135588, 01676276688, 9417135588",Contact Person : ajinder singh bal
LUDHIANA CALCUTTA ROADWAYS,"plot no-71- transport nagar , ludhiana","Contact No : 9316916084, 01612221912,",Contact Person : ram ji mishra
PIYUSH INTERNATIONAL PACKER & MOVERS,"b-23/2908- transport nagar ldh. , ludhiana","Contact No : 9216572657, 2686657,",Contact Person : NULL
SEALAND GLOBAL LOGISTICS,"242- phase 5-� focal point- ludhiana -141010 , ludhiana","Contact No : 9356423389, 0161 , 4642825, 0161 , 5050536,",Contact Person : pradeep nair
INDIA PACKER & MOVERS,"plot no.8- transport nagar ldh. , ludhiana","Contact No : 9417537867, 2220867,",Contact Person : NULL
SEALAND GLOBAL LOGISTICS (UK),"room no. 219- owpl- c-205- focal point- phase-5- ludhiana - 141010 , ludhiana","Contact No : 9815500217, 161, 5050536, 5088673,",Contact Person : mr. pradeep nair
RASTRIYA CARGO TRANSPORT (REDG.),"132- transport nagar ldh. , ludhiana","Contact No : 9779723215, 4623215,",Contact Person : rohit kumar
PIONEER CRANES & ELEVATORS PVT. LTD.,"gill road- ludhiana -141003 , ludhiana","Contact No : 9814023236, 0161 , 2491935, 0161 , 2491936,",Contact Person : salochanbir singh
VELJI DOSABHAI & SONS PVT. LTD.,"no. c/145/a� phase 5�focal point- ludhiana -141008 , ludhiana","Contact No : 9320352111, 0161 , 2672111, 0161 , 4627011,",Contact Person : hardik vira
LUDHIANA PATNA TRANSPORT CO.,"17- s.no.8 transport nagar ldh. , ludhiana","Contact No : 9417371278, 5085487,",Contact Person : paramjit singh
SUNLIGHT TRANSPORT CO.,"97- shop no.4. transport nagar ldh. , ludhiana","Contact No : 9417652986, ,",Contact Person : navdeep kumar
CHARDIKALN ROADLINES,"plot no no 147 trandport nagar ludhiana , ludhiana","Contact No : 9855948181, , 9855948181",Contact Person : sonu noonia
RAMA TRANSPORT,"bus stand ludhiana , ludhiana","Contact No : 8837701562, , 8837701562",Contact Person : sumit
SUNDARAM PACKERS & MOVERS,"plot no.133- transport nagar ldh. , ludhiana","Contact No : 9356758416, ,",Contact Person : NULL
SWARN RANA ENTERPRISES,"893/c- industrial area -a- link road- ludhiana - 141003 , ludhiana","Contact No : 9814743983, 161, 2226480, 4416480,",Contact Person : mr. satnam singh
THE JANTA TRANSPORT CORPORATION,"3- new market opp. mico diesel service near amar dharm kanta transport nagar ldh. , ludhiana","Contact No : 9815900294, 2601452, 5016796,",Contact Person : ananpal singh
