Transporter,Address,Numbers,Contact Person
NEW LUBNA ROAD CARRIERS,"transport nagar jalandhar , jalandhar","Contact No : 9814011176, 5084576,",Contact Person : NULL
JAMMU BOMBAY TRANSPORT CO.,"near work shop chowk gulab devi jalandhar , jalandhar","Contact No : 9316577746, 3248761,",Contact Person : NULL
GURU RAMDAS TRANSPORT CO.,"shop no.4 transport nagar jalandhar , jalandhar","Contact No : 9888545414, 7610000814, 9888545414",Contact Person : 9855400814
PUNJAB INDORE GOODS CARRIERS,"transport nagar jalandhar , jalandhar","Contact No : 7837711100, ,",Contact Person : NULL
THE PUNJAB TRANSPORT COMPANY (REGD.),"52- kapurthala road jalandhar , jalandhar","Contact No : 9888147509, 2620895,",Contact Person : NULL
JOSHI FREIGHT CARRIERS,"7- patel chowk jalandhar , jalandhar","Contact No : 9815376170, ,",Contact Person : NULL
KASHMIR HIMACHAL ROADLINES,"wh-147- kapurthala road jalandhar , jalandhar","Contact No : 9417755354, 2620941,",Contact Person : NULL
BLK LOGISTIKS LTD.,"transport nagar jalandhar , jalandhar","Contact No : 9316386211, 3252484,",Contact Person : NULL
SHYAM ROADLINES,"f-234- ind. area jalandhar , jalandhar","Contact No : , 3242120,",Contact Person : NULL
EK NOOR ROAD CARRIERS,"plot no.35- transport nagar jalandhar , jalandhar","Contact No : 9357208692, 5075861,",Contact Person : NULL
KARVAT GROUP.IN,"office no. 1- 3rd floor� ing vysya bank building� - namdev chowk- g t road , jalandhar","Contact No : , 0181 , 2226929,",Contact Person : NULL
SHIV SAGAR TRANSPORT CO.,"grain market jalandhar , jalandhar","Contact No : 9814668311, 2470040,",Contact Person : NULL
P.K. TRANSPORT CORPORATION,"kapurthala road jalandhar , jalandhar","Contact No : , 2621211,",Contact Person : NULL
UNITED LOGISTICS EXP. SERVICE,"b/s new grain market jalandhar , jalandhar","Contact No : 9357205930, 3251699,",Contact Person : NULL
PAUL MERCHANTS LTD.,"alfa estate�g.t. road- jalandhar -144001 , jalandhar","Contact No : 9317714333, 0181 , 2239104, 0181 , 2243802,",Contact Person : ashwini sharma
DELITE CARGO MOVERS,"6-a- patel chowk jalandhar , jalandhar","Contact No : 9814109577, 2620549,",Contact Person : chander mohan arora
GLOBE TRACTORS LTD.,"g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2455966,",Contact Person : NULL
MEHRA GOODS CORPORATION (REGD.),"8- patel chowk jalandhar , jalandhar","Contact No : 9855527027, 2620062,",Contact Person : NULL
BOMBAY SRI NAGAR TRANSPORT,"plot no.1- transport nagar jalandhar , jalandhar","Contact No : , 2601485,",Contact Person : NULL
MARUTI EXPRESS PACKERS & MOVERS,"office no.5- plot no.14- patel chowk- jalandhar , jalandhar","Contact No : 09317173000, ,",Contact Person : surajpal singh
LUCKY TRANSPORT CORPORATION (REGD.),"rama mandi jalandhar cantt. , jalandhar","Contact No : 9257202409, 2414714,",Contact Person : NULL
ONE POINT LOGISTICS SOLUTIONS PVT. LTD.,"no. 105� lajpat nagar- jalandhar -144001 , jalandhar","Contact No : , 0181 , 4621916,",Contact Person : NULL
HDFC ERGO GENERAL INSURANCE CO.LTD,"3rd floor- 261� eminent mall�lajpat nagar- jalandhar -144001 , jalandhar","Contact No : , 0181 , 3988360,",Contact Person : NULL
JAIPUR GOLDEN,"no. 5� patel chowk- jalandhar -144008 , jalandhar","Contact No : , 0181 , 2620988,",Contact Person : NULL
GLOBE TRANSPORT CO.,"42-b- kapurthala road jalandhar , jalandhar","Contact No : 9357721142, 2621142,",Contact Person : NULL
LAKSMI TRANSPORT CORPORATION (REGD.),"74- kapurthala road jalandhar , jalandhar","Contact No : 9815030407, 2621897,",Contact Person : NULL
ING VYSYA LIFE INSURANCE INDIA CO.,"2nd floor-� pam rose world trade centre� - g.t. road�jalandhar city h.o.- jalandhar -144001 , jalandhar","Contact No : , 0181 , 5055255, 0181 , 5055266,",Contact Person : rominder singh
BHARAT ROAD CARRIERS,"plot no.201- transport nagar , jalandhar","Contact No : 9371945186, ,",Contact Person :
DASHMESH TRANSPORT ORGANISATION,"wh-147- kapurthala road jalandhar , jalandhar","Contact No : , 2620972,",Contact Person : NULL
GOLDEN INDIA TRANSPORT COMPANY (REGD.),"gulab devi hospital road ram mandir , jalandhar","Contact No : , 2202760,",Contact Person : NULL
NEW GUPTA TRANSPORT COPN.,"patel chowk jalandhar , jalandhar","Contact No : , 2620826,",Contact Person : NULL
GULLU TRANSPORT CO.,"p.no.36- transport nagar jalandhar , jalandhar","Contact No : 9872310866, 5082281,",Contact Person : NULL
DELHI U.P. M.P. TRANSPORT COMPANY,"7-a- indira building jalandhar , jalandhar","Contact No : , 2620836,",Contact Person : NULL
NEW CALCUTTA ROADWAYS,"15- patel chowk jalandhar , jalandhar","Contact No : 9815958998, 2282411,",Contact Person : NULL
INDIA INFOLINE COM DISTRIBUTION CO. LTD.,"jl-cantt- street no-1- hardyal road- above white rose restaurant�jalandhar cantt- jalandhar -144005 , jalandhar","Contact No : , 0181 , 2266451, 0181 , 2266452,",Contact Person : NULL
ABC INDIA LIMITED,"plot no.127- ind. area jalandhar , jalandhar","Contact No : 9357301143, 2491927,",Contact Person : NULL
THE J.S.K. ROADLINES,"e-44- ind area jalandhar , jalandhar","Contact No : , 2294133,",Contact Person : NULL
SUKHMIDER TRANSPORT SERVICE,"plot no.44- transport nagar jalandhar , jalandhar","Contact No : 9814185040, 2602140,",Contact Person : NULL
IFFCO-TOKIO GENERAL INSURANCE CO. LTD.,"plot no. eh198- g.t. road� nirmal complex� - swagat palace�civil lines- jalandhar -144001 , jalandhar","Contact No : , 0181 , 2225500,",Contact Person : rohit joshi
AMAR GOODS CARRIERS,"7- 296- transport nagar g.t. road jalandhar , jalandhar","Contact No : 9876758071, 5002613,",Contact Person : NULL
M.P. MAHATASHTRA CARRIERS (INDIA),"plot no.4 ind. area near tci jalandhar , jalandhar","Contact No : 9317744596, ,",Contact Person : NULL
DHILLON TRANSPORT AGENCY,"74- kapurthala road jalandhar , jalandhar","Contact No : 9815030407, 2621897,",Contact Person : NULL
SURAJ TRANSPORT ROADWAYS PVT. LTD.,"no. s-127� industrial area- jalandhar -302006 , jalandhar","Contact No : 9417768209, ,",Contact Person : pawan kumar
NEW PUNJAB RAJASTHAN TPT. CO. PVT.LTD.,"7- patel chowk jalandhar , jalandhar","Contact No : , 5077502,",Contact Person : NULL
ALLIED MOVERS & PACKERS INDIA,"plot no. 14� patel chowk- jalandhar -144001 , jalandhar","Contact No : 9356752530, 0181 , 3190530,",Contact Person : p.k. aggarwal
TRACKON COURIER PVT. LTD.,"shop 171-� ranjit nagar�g.t. road- jalandhar -144001 , jalandhar","Contact No : 9357300201, 9316171466, 0181 , 3091748,",Contact Person : rajindar singh
NEW MOGA TRANSPORT COMPANY (REGD.),"plot no.1- transport nagar ludhiyana , jalandhar","Contact No : 9464792585, 5016251,",Contact Person : NULL
CAPITAL CARGO CARRIERS(INDIA) REGD.,"8- patel chowk jalandhar , jalandhar","Contact No : 9814077800, 2620549,",Contact Person : NULL
KOTAK MAHINDRA OLD MUTUAL LIFE INSURANCE LTD.,"2nd floor-� arora prime towers�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 18002098800,",Contact Person : NULL
CONTINENTAL CARRIERS PVT. LTD.,"no. 204� pam rose- world trade centre�g.t. road- jalandhar -144001 , jalandhar","Contact No : , 0181 , 4339100,",Contact Person : NULL
ONKAR SANDHU TRANSPORT CARRIERS,"207- ind. area jalandhar , jalandhar","Contact No : 9256085266, ,",Contact Person : NULL
NEW BHARAT TRANSPORT CORPORATION,"7-a- indira building patel chowk jalandhar , jalandhar","Contact No : , 2620371,",Contact Person : NULL
SAVANI TRANSPORT LTD.,"3- patel chowk jalandhar , jalandhar","Contact No : , 3200229,",Contact Person : NULL
