Transporter,Address,Numbers,Contact Person
PRC LOGISTICS PVT. LTD.,"no.61- old no.29- ist floor- angappan naiken street- chennai , chennai","Contact No : 9381026557, 25248156,",Contact Person : NULL
ARC PARCEL SERVICES P. LTD.,"16 ghulam abbasm allikan- 10th street- thousand lights- chennai , chennai","Contact No : , 28293500,",Contact Person : NULL
OPMS,"flat 13- 3rd floor new 220- old 282 ttk road- alwar- chennai , chennai","Contact No : , 24980662, 24986889,",Contact Person :
AL BARRAK SHIPPING AGENCIES CO. LTD.,"no. 127- 5th floor�angappa naicken street�parrys- chennai -600001 , chennai","Contact No : , 044 , 25330240, 044 , 25330241, 044 , 25330242,",Contact Person : vikram
JAYA SPRINGS,"d-16- ambattur industrial estate- near wavin bus stop- j j nagar- mogappair west- chennai , chennai","Contact No : , 44, 66420554,",Contact Person : NULL
LTC LOGISTICS P. LTD.,"no.200- gnt road cycle shop- puzhal- chennai , chennai","Contact No : 9381458800, 9380034935, ,",Contact Person : NULL
VETRI TANKER SERVICES PRIVATE LIMITED,"28 (old no.177) nelson manickam road- chennai , chennai","Contact No : 9840043008, 23743001,",Contact Person : NULL
SWASTIK ROADLINES P. LTD.,"b-18- truck terminal complex- madhavaram- chennai , chennai","Contact No : 9382203135, 9025156300, 044, 25531281,",Contact Person : NULL
TRANSPORT SOLUTIONS INDIA,"no.480- anna salai- chennai - 600035 , chennai","Contact No : , 44, 42239875,",Contact Person : mr. b.anand rafi rubesh
DYNAMIC PACKERS & MOVERS,"996 nvn nagar- 2nd st. tirumangalam- anna nagar- chennai , chennai","Contact No : , 26205239,",Contact Person : NULL
SOUTH INDIAN PACKERS & MOVERS,"16 (old 49) l-block- 24th st.- caurvery cly.- a. ngr.- chennai , chennai","Contact No : 9840124972, 26632283, 26635494,",Contact Person :
TRANSWELL EXPRESS LOGISTICS P. LTD.,"454- iind floor- mh road- moolakadai- chennai , chennai","Contact No : 9840807108, 25583917,",Contact Person : NULL
AGK MANI TRANSPORT,"142/b-ottravadai street-puzhal-chennai , chennai","Contact No : 9094116232, 9444666425,",Contact Person : hariharan
TRINITYS CLEARING AND SHIPPING AGENCIES,"no. 30- thambu chetty street- 2nd floor-chennai , chennai","Contact No : 9840036856, 044, 25215143,",Contact Person : s. alexander
AAKASH INTL. PACKERS & MOVERS,"36/2- (old no.69/2) 12th st.- anna ngr east- chennai , chennai","Contact No : 9840085306, 32522572,",Contact Person : NULL
SRINIVASA PACKAGING,"231- 3rd flr. dr. rajivi tower purasawakkam high road purasawakkam- chennai , chennai","Contact No : , 26651677,",Contact Person : NULL
RBT CARGO CARRIER PVT. LTD.,"c-40- 2nd floor- cmda truck terminal complex- madhavaram , chennai","Contact No : 9383188925, 9380121120, 9282221120, ,",Contact Person : NULL
ALL CARGO GLOBAL LOGISTICS LTD.,"915- thiruvotiyur high road- ernavur- chennai , chennai","Contact No : 9840995243, 65716363,",Contact Person : NULL
AVGR TRANSPORT,"4/289 east main road- maduravoyal- chennai , chennai","Contact No : 9282237383, 65338899, 65620203,",Contact Person :
AL MOVERS PVT. LTD.,"48/3a- majestic studio cmpx.- saligrammam- chennai , chennai","Contact No : , 23763173, 23766091,",Contact Person :
KESAR ROADLINES PVT. LTD.,"1 (old no.25) pulla avenue- 2nd floor- chennai , chennai","Contact No : 9382674404, 2654649, 8359, 25751279,",Contact Person : NULL
ABC PACKERS & MOVERS,"1- vgm street- nungambakkam- chennai , chennai","Contact No : , 28234663, 883,",Contact Person :
CARGOMEN LOGISTICS (INDIA) PVT. LTD.,"224 (old no.209)- 2nd floor b-block- lingichetty street- chennai , chennai","Contact No : 9500098818, 9500097005, 42160237,",Contact Person : NULL
STATE CARGO PACKERS & MOVERS,"no.6- kasturi complex- poonamallee by pass road- sannerkuppam- chennai , chennai","Contact No : 9382617207, 9176627407, 32214151,",Contact Person :
NEW KUMAR TRANSPORT CORPORATION,"no. 30 prakasam salai- broadway- , chennai","Contact No : 9962331640, 044,",Contact Person : sathish kumar
SOUTH INDIA FREIGHT CARRIERS PVT. LTD.,"9 (old no.5) acharappan street- chennai , chennai","Contact No : 9381125999, 32900299, 32002699, 2799,",Contact Person : NULL
AMAR CARRIERS P. LTD.,"no.14- new no.21- naval hospital road- periyamet- chennai , chennai","Contact No : 9380084191, 32970385, 32211204,",Contact Person : NULL
VEGA CARGO & LOGISTICS PVT. LTD.,"1- ettiamman ngr.- ph road- kattupakkam- chennai , chennai","Contact No : 9380470065, 23861335, 32914355,",Contact Person : NULL
LEGATO PACKERS & MOVERS PVT. LTD.,"10 (old no.41) kirupashanari st.- w. mambalam- chennai , chennai","Contact No : 9841287561, 32007003, 42073372,",Contact Person :
MIDSUM LOGISTICS PRIVATE LIMITED,"no.10/1- ist floor- sannathi street madravoyal- chennai , chennai","Contact No : , 65152757,",Contact Person : NULL
VICTORY INVESTMENTS & INSURANCE SERVICES,"no.t3- ruby enclave- no. 24 & 25- nsr road�chromepet- chennai -600044 , chennai","Contact No : 9444255060, 044 , 26242967,",Contact Person : kamalalingam
CONFIDENT CARGO CARRIERS P. LTD.,"36- 2nd sait colony egmore- chennai , chennai","Contact No : 9840095709, 42696482, 28191638,",Contact Person : NULL
SUGESAN TRANSPORT PVT. LTD.,"7 (old no.4 & 5) 2nd canal cross road- gandhi nagar- chennai , chennai","Contact No : 9840914283, 42115195, 96,",Contact Person : NULL
KARUR KCP PACKAGINGS LTD.,"a-3- 305- ttk road- alwarpet- chennai , chennai","Contact No : , 24991375,",Contact Person : NULL
TRANSWORLD INTERNATIONAL,"79/6- transworld house kagadasapura main road viganana nagar- nt sandra- chennai , chennai","Contact No : , 25244637, 22254016,",Contact Person :
OKAY LOGISTICS PVT. LTD.,"no.1- naga laxmi nagar- inner ring road poniammanmedu- madavaram- chennai , chennai","Contact No : 9380950747, 9385241287, 26252625, 25561263, 1233, 1285,",Contact Person : NULL
SURESH INSURANCE SOLUTIONS,"rc mehta green park- no.1�dafodill block- mmc road�madhavaram- chennai -600051 , chennai","Contact No : 9790986777, ,",Contact Person : suresh
IMY LOGISTICS PVT. LTD.,"b-7- ist floor- cmda- madhavaram- chennai , chennai","Contact No : 9381384295, 9380384297, 32026179,",Contact Person : NULL
NAAMAKAL LOGISTICS INDIA PVT. LTD.,"20/45- ist floor- post office street- chennai , chennai","Contact No : 9444063084, 9790805580, 25248383, 25248384,",Contact Person : NULL
TEAM TRANS LOGISTICS P. LTD.,"no.23/11- linghichetty street- chennai , chennai","Contact No : 9176268803, 25221456, 25231356,",Contact Person : NULL
RADDAN EARTH MOVERS,"no-7- t h road- tiruvottiyur- chennai , chennai","Contact No : 9444063603, ,",Contact Person : NULL
JSP SERVICES PVT. LTD.,"b-8- cmda truck terminal- madhavaram- chennai , chennai","Contact No : 9381201855, 7200002855, 32556421, 25530434, 31901855,",Contact Person : kake choudhary
CAREWELL SHIPPING PVT. LTD.,"no. 48- 3rd floor� rajaji salai�parrys- chennai -600001 , chennai","Contact No : 9841878854, 044 , 25220806, 044 , 25242227,",Contact Person : raghavendra
SRI BALAJI PACKERS & MOVERS,"28(old no.76) mangal area- thiruvanmiyur , chennai","Contact No : 9841159460, 9941217069, 42158814,",Contact Person :
INTERNATIONAL PACKING & MOVING CO.,"24- mangapatty street- chnitadripet , chennai","Contact No : 9840083635, 28455316, 28454195,",Contact Person :
AAKASH SHIPPING SERVICE,"no. 95/195- 2nd floor�thambu chetty street�parrys- chennai -600001 , chennai","Contact No : 7299980886, 044 , 42052263,",Contact Person : vijaya kumar
SSL PACKERS & MOVERS,"no.19- ellaiamman koil st. west mambalam- chennai , chennai","Contact No : , 24711639,",Contact Person : NULL
PALANISAMY LORRY SERVICE,"1/2- davidson st.- (nr. kothavalachavadi market)- chennai , chennai","Contact No : 9444422479, 25217999, 25212322,",Contact Person :
SRI THANGAM PACKERS & MOVERS,"19/6- chitrakulam st.- thiruvanmiyur- chennai , chennai","Contact No : , 24414055,",Contact Person : NULL
VIMALA PACKERS & MOVERS,"15 (old no.7) jubilee road- west mambalam- chennai , chennai","Contact No : 9444040166, 9841817093, 24746544,",Contact Person :
AGGARWAL GOOD SHIFTING PVT LTD,"no. 18 mahalakshmi nagar puzhal- chennai -600066 , chennai","Contact No : 9901794600, ,",Contact Person : NULL
AMIT ROADWAYS P. LTD.,"no.12- link road- shenoy nagar- chennai , chennai","Contact No : 9841049144, 9840160924, 9840160841, 26643274, 26642852,",Contact Person : NULL
RAVI INSURANCE SERVICES,"no.30b/e1- muthiah nagar� bagyam janani homes�kovilambakkam- chennai -600117 , chennai","Contact No : 9841043765, ,",Contact Person : ravikumar
NAGWAN EXPRESS LOGISTICS PVT. LTD.,"85- varalakshmi nagar- maduravoil- opp. mgr engineering college- chennai , chennai","Contact No : 9382508080, 9841080780, 044, 32967000,",Contact Person : NULL
RAINBOW PACKERS & MOVERS,"(old no.26) krishnan koil street- chennai , chennai","Contact No : 9840020526, 64505855,",Contact Person : NULL
ABT EXPRESS,"141 tiny secretary ekkatuthangal- chennai , chennai","Contact No : , 22252914,",Contact Person : NULL
CEENU PACKERS & MOVERS,"172- ph road- maduravoyal- chennai , chennai","Contact No : 9884418581, 9841641580, ,",Contact Person :
REGAL TRANSWAYS PVT. LTD.,"23 (old no.11) sembudoss street- ist floor- mannady- chennai , chennai","Contact No : 9444031114, 25246193,",Contact Person : NULL
DTDC COURIER & CARGO,"57/101 arcot road- chennai , chennai","Contact No : , 24836121,",Contact Person : NULL
MUKUND ROADLINES P. LTD.,"87- gnt road- madhavaram by-pass- vtc estate- madhavaram- chennai , chennai","Contact No : 9381995709, 65680699,",Contact Person : NULL
GREEN STAR PACKERS & MOVERS,"5437 railway station rd korattur- chennai , chennai","Contact No : 9840946572, 24246052,",Contact Person : NULL
PSTS HEAVY LIFT & SHIFT LTD.,"39/48- rajaji salai- chennai , chennai","Contact No : 9840093119, 25229018,",Contact Person : NULL
SOUTHERN EXPRESS PACKERS & MOVERS (CHENNAI),"room no.302- 3rd floor- no.4- muthumarichetty street- mannady- chennai , chennai","Contact No : 9962140001, 9381811112, 31921112,",Contact Person :
UNI FREIGHT INDIA PVT. LTD.,"gajapathy gardens- puliambedu village- vchavadi- chennai , chennai","Contact No : 9381963513, 26491101, 2,",Contact Person : NULL
SREE KANCHI KAMATCHI TRANSPORT PVT. LTD.,"13/7- madha church street royapuram- chennai , chennai","Contact No : 9789983333, 25903694, 14,",Contact Person : NULL
