Transporter,Address,Numbers,Contact Person
VIMLA PACKERS & MOVERS,"lucknow kanpur , lucknow","Contact No : 9450672989, 9044082010, 8948201899, ,",Contact Person : NULL
GUJRAT RAJASTHAN ROADLINES,"s-423- transport nagar kanpur road lucknow , lucknow","Contact No : 9305465860, 9415125653, 2439057,",Contact Person : a.k. prajapathi
LEE HOME MOVERS & PACKERS,"f-211- transport nagar lucknow , lucknow","Contact No : 9305617177, 9839769079, 3296177,",Contact Person : NULL
GALAXY RELOCATION PACKERS @ MOVERS,"s-217 transport nagar kanpur road lucknow , lucknow","Contact No : 8090884455, 05224103872,",Contact Person : ram mehar sharma
DWIVEDI PACKERS & MOVERS,"khadrai bilal market near forest barriers sitapur road lucknow , lucknow","Contact No : 9628177371, 9956654579, ,",Contact Person : bhaskar dubey
ASHIYANA PACKERS & MOVER PVT.LTD.,"4d. luxmanpuri faizabad , lucknow","Contact No : 9935520047, 3215508,",Contact Person : NULL
SATNAM GOLDEN TRANSPORT CORPORATION,"f-12- morang mandi road transport nagar lucknow , lucknow","Contact No : 9450447414, 9554362814, 9450768730, ,",Contact Person : suresh
AKTA PACKERS & MOVERS,"s-175- 1st floor transport nagar lucknow , lucknow","Contact No : 9935364452, 9839769079, ,",Contact Person : NULL
AMBICA ROAD CARRIERS,"sri karamjit steel roaling mill flybag road lucknow , lucknow","Contact No : 9889003001, 9044229220, ,",Contact Person : s.c. meena
BEST BALAJI PACKERS MOVER (REGD),"m 293 sector m ashiana , lucknow","Contact No : 8960063040, 9359050404,",Contact Person : pawan sharma
VAPI BOMBAY ROADWAYS,"e-119- transport nagar lucknow , lucknow","Contact No : 9450356053, 9336010380, ,",Contact Person : NULL
OMDEO PACKERS & MOVERS PVT.LTD.,"22/205- indra nagar lucknow , lucknow","Contact No : 9336835400, 3201250,",Contact Person : NULL
BABLU PACKERS & MOVERS,"196/142- sitapur road lucknow , lucknow","Contact No : 9839993299, 7388377001, 8896969959, ,",Contact Person : NULL
JYOTI BEST PACKERS & MOVERS (REGD.),"s-175- transport nagar lucknow , lucknow","Contact No : 9839338262, 9839464760, ,",Contact Person : NULL
SURJIT ROADWAYS,"near railway crossing aisbag road lucknow , lucknow","Contact No : 8400477386, 4006278,",Contact Person : NULL
NATIONAL CARGO PACKERS & MOVERS,"l.d.a colony kanpur road lucknow , lucknow","Contact No : 9305556999, 9670506778, 3220999,",Contact Person : NULL
KHAWAJA ROAD LINES (REGD.) & PACKER & MOVERS,"i.i.m- tiraha sitapur road luknow , lucknow","Contact No : 9919091547, 9935479648, 9795693449, ,",Contact Person : NULL
JAI KRISHNA ROAD LINES,"old rto compound latouch road lucknow , lucknow","Contact No : 9794980748, 9651275840, 4042722,",Contact Person : rishi
SRI KRISHNA TRANSPORT CORPORATION/PACKERS & MOVERS,"e-29- transport nagar lucknow , lucknow","Contact No : 9839601707, 9918348034, 4079836,",Contact Person : NULL
AGARSAIN PACKERS & MOVERS,"l.d.a colony kanpur road lucknow , lucknow","Contact No : 9305746550, 9305746550, 3213789,",Contact Person : NULL
MAHA SHAKTI PACKER & MOVERS,"s.s 86 l.d.a. colony lucknow , lucknow","Contact No : 9565069129, 9305950565, 2559873,",Contact Person : NULL
MITHILA PACKERS AND TRANSMOVERS PVT.LTD.,"plot no-11/57 old daud nagar , lucknow","Contact No : 9369388880, 05223225053,",Contact Person : ajay kumar jha
DILHL UTTRANCHAL UTTARANCHAL TRANSPORT COMPANY,"iim road hardoi by pass opp. mohan disital dharam kanta lucknow , lucknow","Contact No : 9415516634, 9335491892, 9415516634",Contact Person : vazid khan
KHALSA EARTH MOVERS,"tp nagar , lucknow","Contact No : 9936435111, 05224078092,",Contact Person : gurmeet singh
U.P. GUJRAT ROADWAYS (REGD.),"f-307- transport nagar lucknow , lucknow","Contact No : 9335247473, 2431992, 3239473,",Contact Person : NULL
LUCKNOW BAREILLY GOODS CARRIERS,"f-99- transport nagar kanpur road lucknow , lucknow","Contact No : 9415410240, 9473752642, 2434223, 4002433,",Contact Person : NULL
MANGALAM ROAD CARRIERS,"3- baba complex near manodya traning center bhitali iim road lucknow , lucknow","Contact No : 9196024860, 9415511890, 9984725490, , 9415511890",Contact Person : arvind mishra
SURESH ROADLINES,"a245near metro , lucknow","Contact No : 9311994672, ,",Contact Person : ajeet
MANGALAM CARGO CARRIER CORPORATION,"1/110- sec-d- priyadarsani colony , lucknow","Contact No : 9939094422, 9818747418, ,",Contact Person : sanjeev mishra
ANEJA CARRIERS,"f-19- 20- transport nagar lucknow , lucknow","Contact No : 9415086625, 2434130,",Contact Person : raju aneja
SRI KRISHNA TRANSPORT CORP.,"e-29. transport nagar near state bank chauraha lucknow , lucknow","Contact No : 9415003782, 9839601707, 9628677444, 0522, 4079838,",Contact Person : anil yaday
BIMAPANDIT,"ss-1/146 sector- a aliganj lucknow , lucknow","Contact No : 9044386798, ,",Contact Person : santosh pandey
SOUTH EAST CARRYING CORPORATION,"f-12- morang mandi road transport nagar lucknow , lucknow","Contact No : 9450447414, 9554362814, 9450768730, ,",Contact Person : suresh
NEW ARORA ROAD CARRIERS (REGD.),"4-krishna building charbag , lucknow","Contact No : 9839082006, 0522, 4016755, 4062640,",Contact Person : jitendar arora
LUCKNOW CARGO PACKERS & MOVERS (REGD.),"near over bridge opp. himcity sitapur road , lucknow","Contact No : 9335922299, 9335045935, ,",Contact Person : NULL
NEW FAIZABAD LUCKNOW FORWARDING AGENCY,"f-19- 20- transport nagar lucknow , lucknow","Contact No : 9415086625, 2434130,",Contact Person : raju aneja
SAHARA NATIONAL PACKERS & MOVERS (REGD.),"s-217- lst floor transport nagar kanpur road lucknow , lucknow","Contact No : 9369641626, 9935761984, 3216086, 4007575,",Contact Person : anil david
GUJRAT RAJASTHAN ROADLINES,"s-423- transport nagar kanpur road lucknow , lucknow","Contact No : 9305465860, 9415125653, 2439057,",Contact Person : a.k. prajapathi
LEE HOME MOVERS & PACKERS,"f-211- transport nagar lucknow , lucknow","Contact No : 9305617177, 9839769079, 3296177,",Contact Person : NULL
GALAXY RELOCATION PACKERS @ MOVERS,"s-217 transport nagar kanpur road lucknow , lucknow","Contact No : 8090884455, 05224103872,",Contact Person : ram mehar sharma
DWIVEDI PACKERS & MOVERS,"khadrai bilal market near forest barriers sitapur road lucknow , lucknow","Contact No : 9628177371, 9956654579, ,",Contact Person : bhaskar dubey
ASHIYANA PACKERS & MOVER PVT.LTD.,"4d. luxmanpuri faizabad , lucknow","Contact No : 9935520047, 3215508,",Contact Person : NULL
SATNAM GOLDEN TRANSPORT CORPORATION,"f-12- morang mandi road transport nagar lucknow , lucknow","Contact No : 9450447414, 9554362814, 9450768730, ,",Contact Person : suresh
AKTA PACKERS & MOVERS,"s-175- 1st floor transport nagar lucknow , lucknow","Contact No : 9935364452, 9839769079, ,",Contact Person : NULL
AMBICA ROAD CARRIERS,"sri karamjit steel roaling mill flybag road lucknow , lucknow","Contact No : 9889003001, 9044229220, ,",Contact Person : s.c. meena
BEST BALAJI PACKERS MOVER (REGD),"m 293 sector m ashiana , lucknow","Contact No : 8960063040, 9359050404,",Contact Person : pawan sharma
VAPI BOMBAY ROADWAYS,"e-119- transport nagar lucknow , lucknow","Contact No : 9450356053, 9336010380, ,",Contact Person : NULL
OMDEO PACKERS & MOVERS PVT.LTD.,"22/205- indra nagar lucknow , lucknow","Contact No : 9336835400, 3201250,",Contact Person : NULL
BABLU PACKERS & MOVERS,"196/142- sitapur road lucknow , lucknow","Contact No : 9839993299, 7388377001, 8896969959, ,",Contact Person : NULL
RAMPUR MURADABAD TRANSPORT COMPANY PACKER & MOVERS,"sitapur road lucknow , lucknow","Contact No : 9838112324, 9336608929, 9794549371, ,",Contact Person : NULL
JYOTI BEST PACKERS & MOVERS (REGD.),"s-175- transport nagar lucknow , lucknow","Contact No : 9839338262, 9839464760, ,",Contact Person : NULL
SURJIT ROADWAYS,"near railway crossing aisbag road lucknow , lucknow","Contact No : 8400477386, 4006278,",Contact Person : NULL
NATIONAL CARGO PACKERS & MOVERS,"l.d.a colony kanpur road lucknow , lucknow","Contact No : 9305556999, 9670506778, 3220999,",Contact Person : NULL
KHAWAJA ROAD LINES (REGD.) & PACKER & MOVERS,"i.i.m- tiraha sitapur road luknow , lucknow","Contact No : 9919091547, 9935479648, 9795693449, ,",Contact Person : NULL
JAI KRISHNA ROAD LINES,"old rto compound latouch road lucknow , lucknow","Contact No : 9794980748, 9651275840, 4042722,",Contact Person : rishi
SRI KRISHNA TRANSPORT CORPORATION/PACKERS & MOVERS,"e-29- transport nagar lucknow , lucknow","Contact No : 9839601707, 9918348034, 4079836,",Contact Person : NULL
AGARSAIN PACKERS & MOVERS,"l.d.a colony kanpur road lucknow , lucknow","Contact No : 9305746550, 9305746550, 3213789,",Contact Person : NULL
