Transporter,Address,Numbers,Contact Person
AVG LOGISTICS,"lokhra- guwahati , guwahati","Contact No : 9435409641, 2738087,",Contact Person : samir
TRANSAFE LOGISTICS,"n.h-37-nalapara- beltola- guwahati , guwahati","Contact No : 8752885619, 9774659307, ,",Contact Person : t.kasar
H R PACKERS AND MOVERS,"house n. 2 banalaxmi path income tax colony road bangaon guwahati assam 781028 , guwahati","Contact No : 9508088088, 9706069210,",Contact Person : hardeep singh
AASHU ROADLINES,"house no 15 amrit nagar basistha chariali beltola , guwahati","Contact No : , 9864061275,",Contact Person : amit singh
P.K. ROADWAYS,"near xenon weight bridge- opp.nidhi bhawan-n.h-37 road- lalmati- guwahati , guwahati","Contact No : 9864033378, 9864021190, 0361, 2303494,",Contact Person : parddep gupta
B.H. ROADWAYS CORP.,"room no-48- kirandeep building- n.h-37 beltola- guwahati , guwahati","Contact No : 8876511125, 9531005555, 9435843918, 0361, 2301489,",Contact Person : b.l.bansal
MODERN PACKAGING,"forest gate- narengi- guwahati , guwahati","Contact No : , 0361, 2633332,",Contact Person : harmohan kalita
KOLKATA GUWAHATI ROADWAYS,"n.h-37- lalung goan- lokhra- guwahati , guwahati","Contact No : 9678760061, 9854739350, 9678389696, 9707328970, ,",Contact Person : binder
AVG LOGISTICS,"lokhra- guwahati , guwahati","Contact No : 9435409641, 2738087,",Contact Person : samir
ARC CARGO PACKERS AND MOVERS,"basistha chariali beltola- guwahati , guwahati","Contact No : 9954278214, 09678738425,",Contact Person : packers and movers
LOGISTIC TRANSPORT OF INDIA PVT. LTD.,"g.s.road- old post office bus stoppage , guwahati","Contact No : 9435014135, 03612346327,",Contact Person : r.s.tiwari
AASHU LOGISTICS & PACKAGING PVT LTD,"basistha chariali beltola- guwahati , guwahati","Contact No : 9864061275, 361, 2304266,",Contact Person : NULL
NATIONAL PACKERS & CARRIERS,"silpukhri- guwahati , guwahati","Contact No : 9864055306, ,",Contact Person : NULL
POPULAR PACKERS,"silpukhri- guwahati , guwahati","Contact No : 9864109852, ,",Contact Person : shau ji
