Transporter,Address,Numbers,Contact Person
GREAT INDIA PACKERS & MOVERS,"a-7- phase-1- near st. marks school preet vihar colony rudrapur , rudrapur","Contact No : 9557088500, 9760298500,",Contact Person : sandeep kumar
SRI RAM PACKERS & MOVERS,"s.no.5- sandhu market rudrapur , rudrapur","Contact No : 9719620111, ,",Contact Person : n.k. sharma
MVS FREIGHT CARRIERS,"mig 487 awas vikas rudrapur , rudrapur","Contact No : 9759364700, 9045065700,",Contact Person : satbir singh
R S LOGISTICS,"kashipur road , rudrapur","Contact No : 8171503434, 8958108380, 8171503434",Contact Person : vijay
AXIOM LOGISTICS,"near railway crossing-kashipur road , rudrapur","Contact No : 9058628348, 9319884257,",Contact Person : prashant singh
AXIOM LOGISTICS,"near railway crossing-kashipur road , rudrapur","Contact No : 9058628348, 9319884257,",Contact Person : prashant singh
SHIV BHOLE BABA TRANSPORT COMPANY,"chaudhary complex kichha road rudrapur , rudrapur","Contact No : 9675810495, 7830034999, 8869034999, 7830034999",Contact Person : jaipal
UNION ROADWAYS LTD,"lal khoti- lok vihar colony opp. sale tax barrier- rampur- road rudrapur , rudrapur","Contact No : 9319927603, 9358027603, 05944, 243688,",Contact Person : sunil kumar singhal
DELHI MODI EXPRESS TRANSPORT CO..,"village fulsunga- opposite greenply limited- sidcul- sector-9- , rudrapur","Contact No : 96398, 35158 and 9811206706, 96398, 35159,",Contact Person : subhash
OM PACKERS & MOVERS (INDIA),"rampur road leechi bags , rudrapur","Contact No : 9368316351, ,",Contact Person : nandkisor
AXIOM LOGISTICS,"near railway crossing-kashipur road , rudrapur","Contact No : 9058628348, 9319884257,",Contact Person : prashant singh
PRAKASH PARCEL SERVICES LTD,"near mahaveer prasad rice mill industrial area kichha bypass road rudrapur , rudrapur","Contact No : 9368844480, 05944247456,",Contact Person : ajit singh shekhawat
GREAT ROADWAYS REGD.,"rudrapur , rudrapur","Contact No : 9917127111, 05944246152,",Contact Person : m.k tiwari
NRC LOGISTICS PVT LTD.,"rudrapur , rudrapur","Contact No : , 9045000047,",Contact Person : vikas kumar choudhary
NEW SS LOGISTICS,"preet vihar rudrapur , rudrapur","Contact No : 9411521272, 9411531272, 9411521272",Contact Person : surjeet aulakh
KULJEET TRANSPORT COMPANY,"gava rice mill compound near rudra continental kashipur by pass road rudrapur , rudrapur","Contact No : 8923160108, 9412090108, 8923160108",Contact Person : kuldeep arora
BEST BALAJI PACKERS & MOVERS (REGD.),"lst floor preet vihar colony near st. publice school rampur road , rudrapur","Contact No : 9359813040, ,",Contact Person : dinesh sharma
KULJEET TRANSPORT COMPANY,"gava rice mill compound near rudra continental kashipur by pass road rudrapur , rudrapur","Contact No : 8923160108, 9412090108, 8923160108",Contact Person : kuldeep arora
SRI RAM PACKERS & MOVERS,"s.no.5- sandhu market rudrapur , rudrapur","Contact No : 9719620111, ,",Contact Person : n.k. sharma
MVS FREIGHT CARRIERS,"mig 487 awas vikas rudrapur , rudrapur","Contact No : 9759364700, 9045065700,",Contact Person : satbir singh
R S LOGISTICS,"kashipur road , rudrapur","Contact No : 8171503434, 8958108380, 8171503434",Contact Person : vijay
AXIOM LOGISTICS,"near railway crossing-kashipur road , rudrapur","Contact No : 9058628348, 9319884257,",Contact Person : prashant singh
AXIOM LOGISTICS,"near railway crossing-kashipur road , rudrapur","Contact No : 9058628348, 9319884257,",Contact Person : prashant singh
SHIV BHOLE BABA TRANSPORT COMPANY,"chaudhary complex kichha road rudrapur , rudrapur","Contact No : 9675810495, 7830034999, 8869034999, 7830034999",Contact Person : jaipal
UNION ROADWAYS LTD,"lal khoti- lok vihar colony opp. sale tax barrier- rampur- road rudrapur , rudrapur","Contact No : 9319927603, 9358027603, 05944, 243688,",Contact Person : sunil kumar singhal
DELHI MODI EXPRESS TRANSPORT CO..,"village fulsunga- opposite greenply limited- sidcul- sector-9- , rudrapur","Contact No : 96398, 35158 and 9811206706, 96398, 35159,",Contact Person : subhash
OM PACKERS & MOVERS (INDIA),"rampur road leechi bags , rudrapur","Contact No : 9368316351, ,",Contact Person : nandkisor
AXIOM LOGISTICS,"near railway crossing-kashipur road , rudrapur","Contact No : 9058628348, 9319884257,",Contact Person : prashant singh
PRAKASH PARCEL SERVICES LTD,"near mahaveer prasad rice mill industrial area kichha bypass road rudrapur , rudrapur","Contact No : 9368844480, 05944247456,",Contact Person : ajit singh shekhawat
GREAT ROADWAYS REGD.,"rudrapur , rudrapur","Contact No : 9917127111, 05944246152,",Contact Person : m.k tiwari
TATA TRAILOR SERVICE AND TRANSPORT,"kichha road hazi parking lalpur rudrapur udham singh nagar uttrakhand , rudrapur","Contact No : 9761999097, 9639658534, 9761303561, 9761999097",Contact Person : kamal kumar pal
NRC LOGISTICS PVT LTD.,"rudrapur , rudrapur","Contact No : , 9045000047,",Contact Person : vikas kumar choudhary
NEW SS LOGISTICS,"preet vihar rudrapur , rudrapur","Contact No : 9411521272, 9411531272, 9411521272",Contact Person : surjeet aulakh
KULJEET TRANSPORT COMPANY,"gava rice mill compound near rudra continental kashipur by pass road rudrapur , rudrapur","Contact No : 8923160108, 9412090108, 8923160108",Contact Person : kuldeep arora
BEST BALAJI PACKERS & MOVERS (REGD.),"lst floor preet vihar colony near st. publice school rampur road , rudrapur","Contact No : 9359813040, ,",Contact Person : dinesh sharma
KULJEET TRANSPORT COMPANY,"gava rice mill compound near rudra continental kashipur by pass road rudrapur , rudrapur","Contact No : 8923160108, 9412090108, 8923160108",Contact Person : kuldeep arora
