Transporter,Address,Numbers,Contact Person
VEER LOGISTICS P. LTD.,"22- ub colony ashok garh- kolkata , kolkata","Contact No : 9830625062, ,",Contact Person : mohan sharma
AKASH PACKING & SHIPPING CO.,"22- ub colony- gr. floor- ashol gargh- kolkata , kolkata","Contact No : 9830625062, ,",Contact Person : mohan sharma
DSG CARRIERS PRIVATE LIMITED,"maitypara. aasha lata complex. dankuni. , kolkata","Contact No : 9831022905, 25296121,",Contact Person : amrik singh
MILAP ROADWAYS PVT. LTD.,"1- surti bengan street- kolkata , kolkata","Contact No : 9830731226, 22350678, 65480476,",Contact Person : chandan
MRINMAYA TRANDING & MOVERS P. LTD.,"206- center point- 21 old court house street- kolkata , kolkata","Contact No : , 30224587,",Contact Person : NULL
LEONORA EXPRESS LOGISTICS PVT. LTD,"c-6- lake view park- bonhooghly- kolkata- pincode-700017 , kolkata","Contact No : 9036411722, 18001021606,",Contact Person : NULL
EFC LOGISTICS INDIA (P) LTD.,"27- weston street- room no.310/404- kolkata , kolkata","Contact No : , 22110543, 22110544,",Contact Person : NULL
GREATWAYS TRANSPORT PVT. LTD.,"gr. floor kolkata , kolkata","Contact No : 983019522, 9830119511, 32972830, 22710590,",Contact Person :
PLANTERS AIRWAYS LTD.,"10- pollock street- 2nd floor- kolkata , kolkata","Contact No : 9830547413, 22355651, 22350694,",Contact Person : prasant k. dutta
GUPTA FREIGHT CARRIERS LTD.,"69- pathuria ghat street- kolkata , kolkata","Contact No : 9830231360, 22594136, 32934983,",Contact Person : NULL
KEJRIWAL INSURANCE & INVESTMENT CONSULTANT,"baranasi ghosh street- block-a- 3rd floor- girish park- chittaranjan avenue- kolkata - 700007 , kolkata","Contact No : 9831044195, ,",Contact Person : mr. ashok kumar kejriwal
EXPRESS ROADWAYS PVT. LTD.,"p-1- hide lane- 6th floor- kolkata , kolkata","Contact No : 9339080121, 9331796323, 22365619, 22365956,",Contact Person : ashok gupta
TATKAL CARGO LTD.,"128- mahatma gandhi road kolkata , kolkata","Contact No : 9331840541, 22729549, 22729548,",Contact Person : NULL
GUPTA TRANSPORT SERVICES P. LTD.,"80/1b- phears lane- ist floor- kolkata , kolkata","Contact No : 9331152681, 9831352681, ,",Contact Person : ajay gupta
COMPACTUM PACKERS & MOVERS,"24- nandan road- bhowanipur- kolkata , kolkata","Contact No : , 24552052,",Contact Person : NULL
PERFECT PACKERS & MOVERS,"1529- mukundpur jadavpur- kolkata , kolkata","Contact No : 9831027743, ,",Contact Person : g pradhan
ADHUNIK FREIGHT CARRIERS PVT. LTD.,"p-2- new cit road- room no.303- 3rd floor , kolkata","Contact No : 9331021315, 32594118, 22256859, 22215048,",Contact Person : NULL
MARUTI GOODS MOVERS PVT. LTD.,"26/2-�near barrabazar police st.-�armenian street-�kolkata gpo-�kolkata - 700001 , kolkata","Contact No : , 033, 66347581,",Contact Person : NULL
NORTH EASTERN CARRYING CORPN. LTD.,"34a- brabourne road- raghunath building- 2nd floor- kolkata , kolkata","Contact No : 9433058688, 22354330, 22354349,",Contact Person : sanjay lunia
AKSHAR LOGISTICS PVT. LTD.,"5- 2nd floor-�near bankshall court-�garstin place-�dalhousie-�kolkata - 700001 , kolkata","Contact No : , 033, 66247024,",Contact Person : NULL
ANAND TRANS LOGISTICS P. LTD.,"121- cr avenue- gr. floor- near mohamed ali park- kolkata , kolkata","Contact No : 9331772640, 22216475, 22359609, 22355543,",Contact Person : pandey
CARGO HANDLING CORPORATION,"no.26�kalmax sarni�khidderpore- kolkata -700023 , kolkata","Contact No : , 033 , 24594498,",Contact Person : sagar
RELIABLE TRANSPORT AGENCY,"no.12/2�anukul mukherjee road- malapara�beadon street- kolkata -700006 , kolkata","Contact No : 9339059742, 033 , 22592021,",Contact Person : tarkeswar pandey
HIGHWAY ROAD CARRIERS PVT LTD,"2b- grant lane- 2nd floor , kolkata","Contact No : 9831133698, 22369081,",Contact Person : praveen sarawagi
JAI LAXMI ROAD SERVICE PVT. LTD.,"40b- chittaranjan avenue- gr. floor- kolkata , kolkata","Contact No : , 22121746, 22120106,",Contact Person : NULL
VARUNA HOME SHIFTING,"314- himalaya plaza- b-block- 3rd floor- delhi road dankuni , kolkata","Contact No : 9830846197, 9007789976, 8100046197, ,",Contact Person : narender kumar
SAHARA INDIA GOODS MOVERS PVT. LTD.,"room no.203- himalaya plaza- dankuni opp. fci godown- delhi bypass road- hughli district- kolkata , kolkata","Contact No : 9355817796, ,",Contact Person : rk bhardwaj
ROAD CARGO MOVERS PVT. LTD.,"1- gibson lane- 2nd floor- suit no.211 & 212- behind orient cinema- kolkata , kolkata","Contact No : , 22103480, 22103485,",Contact Person : NULL
ASSOCIATED ROADWAYS,"60d colootola street- tiretta bazar�chittaranjan avenue- kolkata -700073 , kolkata","Contact No : , 033 , 22355974,",Contact Person : gouri tiwari
ESSEL TRANSPORT PVT. LTD.,"28- black burn lane- kolkata , kolkata","Contact No : 9331017387, 22375332, 22378594, 32584020,",Contact Person : sunil hawelia
AJANTA TRANSPORT CO.,"no.p-16 new cit road�chittaranjan avenue- kolkata -700073 , kolkata","Contact No : 9320099697, 9331187571, 033 , 22345418,",Contact Person : sanjeev goyal
NTC CARRIERS PVT. LTD.,"25 room no.501 ayush niketan building-�near poddar court telephone exchange-�blackburn lane-�bowbazar-�kolkata - 700012 , kolkata","Contact No : , 033, 66247401,",Contact Person : NULL
CHETNA LOGISTICS PVT. LTD.,"32- ezra street- north block- 8th floor- suit no.863- kolkata , kolkata","Contact No : 9433016005, 22356900, 22353381,",Contact Person : NULL
PRECIOUS CARRYING CORPN. LTD.,"128- mahatma gandhi road kolkata , kolkata","Contact No : 9830221306, 22707229, 32974294,",Contact Person : sushil kumar joshi
WEST & SOUTH ROAD CARRIERS P. LTD.,"42- madan mohan burman street- kolkata , kolkata","Contact No : 9831281500, 22181946,",Contact Person : NULL
BEST ROADWAY LIMITED,"6th floor r.no.110/207- md road- kolkata , kolkata","Contact No : 9331742292, 32608505, 64592663,",Contact Person : ballabh bhatter
LINK ROADLINES PVT. LTD.,"46/1b- dh road- kolkata , kolkata","Contact No : , 24493712, 24497686,",Contact Person : NULL
RAHUL CARGO PACKERS & MOVERS,"307- himalaya plaza- block-fg- 3rd floor- opp. fci- delhi road- dankuni- hooghly , kolkata","Contact No : 9330117065, 9824173618, 32494449, 79, 25626023, 25624052,",Contact Person : vinay kumar
AR TRANSPORT AGENCY,"no.4�black burn lane�chittaranjan avenue- kolkata -700012 , kolkata","Contact No : 9830323470, 9681234750, 033 , 22250139,",Contact Person : rahman
JAGANNATH TRANSPORT CORPN.,"himalaya plaza- block-b- 2nd floor- dankuni- hooghly , kolkata","Contact No : 9330096090, 9330006723, 32919896,",Contact Person : navin sharma
REAL LOGISTICS PVT. LTD.,"1-b- black burn lane- 3rd floor- kolkata , kolkata","Contact No : 9830139218, 9433003876, 30226647,",Contact Person : navin sharma
CARGOALLINE LOGIX,"43- sovabazar street- 2nd floor- shobha bazar- kolkata , kolkata","Contact No : 9432014410, 33, 25308449,",Contact Person : chandan kumar
SAHARA PACKERS & MOVERS PVT. LTD.,"149- ashok gargh- near dunlop- kolkata , kolkata","Contact No : 9331799333, ,",Contact Person : deepak sinha
PR PACKERS & MOVERS,"16- mondal temple lane- new alipore- kolkata , kolkata","Contact No : 9007010800, 9903641342, ,",Contact Person : NULL
PUJA CARGO PACKERS AND MOVERS,"12 no. pwd road 1st floor - dunlop- kolkata , kolkata","Contact No : 9804341960, 9339880491, 03325106058, 9339880490",Contact Person : bipin kumar verma
CHETAN LOGISTICS PVT. LTD.,"43- diamond harbour road- kolkata , kolkata","Contact No : 9830950056, 24497438, 24492021,",Contact Person : NULL
CHARTERED LOGISTICS LTD,"161- mahatama gandhi road- ist floor eastern plaza- kolkata , kolkata","Contact No : 9332107088, 9883307088, 033, 32607336,",Contact Person : suresh baid
SYNDOT PACKERS & MOVERS,"44- ram swaroop khetri road- new alipur- burtolla bus stop- kolkata , kolkata","Contact No : 9331230557, 9836030808, ,",Contact Person : rajanikant
AIRTA LOGISTICS P. LTD.,"1a- raja subodh mullick square- kolkata , kolkata","Contact No : 9830020245, 22364725, 39282600,",Contact Person : ashok
COASTAL ROADWAYS LTD,"4- black burn lane- kolkata , kolkata","Contact No : 9830022247, 22376094, 22379715, 32596264,",Contact Person : NULL
PPLOGISTICS,"j-8 zonal center durgapur , kolkata","Contact No : 9378459913, , 9378459913",Contact Person : gopal selwal
EVERLITE CARRIERS & DISTRIBUTOR LTD.,"56-c- mandal street- kolkata , kolkata","Contact No : 9830160726, 22594731, 22595685,",Contact Person : NULL
YASH PACKERS & MOVERS,"8/2- pwd road- ashok garh post office dunlop- kolkata , kolkata","Contact No : 9330880490, 9339250214, 9339250218, 32016615,",Contact Person : bipin kumar
