Transporter,Address,Numbers,Contact Person
UNI TRANSPORT (INDIA) PVT. LTD.,"229- ist floor puspam complex- isanpur- ahmedabad , ahmedabad","Contact No : 9824636390, 9377044450, 25896078,",Contact Person :
RAJDOOT ROAD CARRIERS PVT. LTD.,"31- hirabhai mkt.- db road- kankaria- ahmedabad , ahmedabad","Contact No : , 25464981, 32921203,",Contact Person : NULL
DELHI HOWRAH ROADLINES P. LTD.,"314- pb parekh tower- db road- kankaria- ahmedabad , ahmedabad","Contact No : 9426328041, 25465082, 25466923,",Contact Person : NULL
CRESCENT ROADWAYS PVT.LTD.,"8/9- shubh laxmi estate rakhail adh. , ahmedabad","Contact No : 9375031931, 079, 3295 2211,",Contact Person : NULL
RAJASTHAN GOODS MOVERS PVT. LTD.,"behind new cloth market- near bordi mills- ahmedabd , ahmedabad","Contact No : 9825327855, 25454139, 25454241,",Contact Person : NULL
MARUTI MOTOR TRANSPORT COMPANY PVT. LTD.,"7- hirabhai market- db road kankaria- ahmedabad , ahmedabad","Contact No : 9925040214, 2547766, 25466643,",Contact Person : NULL
YASH ROAD CARRIERS,"2a narayan estate-ishanpur , ahmedabad","Contact No : 9377755289, 9723637667,",Contact Person : sanat kumar shukla
JSP SERVICES P. LTD.,"110- nakasha chamber- narol chowk- ahmedabad , ahmedabad","Contact No : 9374596381, ,",Contact Person : NULL
NEW SURAJ TRANSPORT CO. P. LTD.,"582/b/6- kankaria road- o/s raipurgate- ahmedabad , ahmedabad","Contact No : , 25453303, 22772693,",Contact Person : NULL
FREIGHTSTAR PVT. LTD.,"26- silver market- narol crossing road- ahmedabad , ahmedabad","Contact No : 9375103164, 9375103167, 32457900,",Contact Person :
SURYA ROADLINES PVT. LTD.,"above bhagyoday hotel- o/s raipur gate , ahmedabad","Contact No : 9824240333, 9824231999, 25471717, 25471818,",Contact Person :
SARNA TRANSPORT CORPN. P. LTD.,"5 triupati estate- ambica nagar road- ahmedabd , ahmedabad","Contact No : 9377197293, ,",Contact Person : NULL
PRC LOGISITCS PVT. LIMITED,"chander prakash society- kankaria- ahmedabad , ahmedabad","Contact No : 9327020912, 25322023, 25322335,",Contact Person : NULL
SUPREME TRANSPORT ORG. PVT. LTD.,"84- hirabhai mkt.- db road- kankaria , ahmedabad","Contact No : , 25466870, 25466871, 32983310, 30287157,",Contact Person : NULL
ROADKING TRANSPORT CORPORATION,"416 anand chloth market nr. saragpur bride ahmedabad , ahmedabad","Contact No : 9898915125, 22141487,",Contact Person : manish bansal
TOLL (INDIA) LOGISTICS PVT. LTD.,"615- 6th floor- vanijay bhawan kankariya- ahmedabad , ahmedabad","Contact No : 9687606758, 9974828550, ,",Contact Person :
JAI LOGISTICS,"599/12 kalyan niwas opp raipur gate - nr kamalnath mahadev mandir - kankaria road , ahmedabad","Contact No : 9374833888, , 9374833888",Contact Person : pankaj yadav
JAI HIND ROADWAYS P. LIMITED,"behind manipatram ashram- o/s raipur gate , ahmedabad","Contact No : , 25453502, 25453864, 262252, 25712554,",Contact Person : NULL
GREEN CARRIERS & CONT. DELHI P. LTD.,"opp. city mile compound- kankaria road- ahmedabad , ahmedabad","Contact No : 9376152512, 25454499, 25453486, 32954639,",Contact Person : NULL
SOUTH GUJARAT TRANSPORT PVT. LTD.,"near evergreen hotel- narol circle- narol , ahmedabad","Contact No : , 079, 32944379, 30411812,",Contact Person : NULL
JET ROADLINES (INDIA) PVT. LTD.,"718-721- vanijaya bhawan- 7th floor- kankaria , ahmedabad","Contact No : 9375109007, 25454601, 25451283, 25731039,",Contact Person : NULL
PRC LOGISTICS PVT LTD,"318-319 bhagirath icon opp. old norol court narol ahmedabad , ahmedabad","Contact No : 9327020912, 07925712023, 9327020912",Contact Person : kishore gujar
SUPER SONIC CARRIER PVT. LTD.,"g-10- pushp turning mony hotel- ahmedabad , ahmedabad","Contact No : 9328775540, 9328575542, 9325575541, 32456082, 9372128194",Contact Person :
SRI BALAJI TRANS WAYS PVT. LTD.,"16- timber mkt. isanpur road- narol- ahmedabad , ahmedabad","Contact No : , 25716244, 25736331, 233198, 233197,",Contact Person : NULL
PREMIER ROAD CARRIERS LTD,"210- freeway trade center narol gam ahd. , ahmedabad","Contact No : 9377154136, ,",Contact Person : NULL
PREMIER ROADLINES PVT.LTD.,"g-9- silver point building narol circle ahd. , ahmedabad","Contact No : 9377470779, ,",Contact Person : NULL
SOUTH EASTERN CARRIER P. LTD.,"anand chambers- kadiwad corner- ahmedabad , ahmedabad","Contact No : 9327031671, 22143870,",Contact Person : NULL
GLOBE TRANSPORT CO. P. LTD.,"16/17- tp nagar- narol- ahmedabad , ahmedabad","Contact No : , 25715641, 25715642, 25715644, 25715643,",Contact Person : NULL
RITCO LOGISTICS PVT LTD,"3 shakti este ishanpur , ahmedabad","Contact No : 9723637667, 9377755289,",Contact Person : ritco logistics pvt ltd
ALL INDIA ROADWAYS PVT. LIMITED,"79- shiv shakti estate- narol char rasta- ahmedabad , ahmedabad","Contact No : 9377777287, 40087771,",Contact Person : NULL
DURTGAMEE ROAD CARRIERS P. LTD.,"624- vanijaya bhawan- db road- kankaria , ahmedabad","Contact No : 9377339876, 9327039876, 25454871,",Contact Person :
DEEPAK CARRYING CORPORATION,"c-316. swaminarayan businesspark- opp gokulesh petrol pump- narol ahmedabad , ahmedabad","Contact No : 9898063925, 9427038566, 9898063925",Contact Person : dinesh
HI SPEED LOGISTICS PVT. LTD.,"113a- krishna complex- shahwadi- ahmedabad , ahmedabad","Contact No : 9375107274, 25734772, 25735970,",Contact Person : NULL
DRS LOGISTICS P. LIMITED,"2/c- new york corner- behind kiran motor , ahmedabad","Contact No : 9825327829, 26872908, 32940434, 26872672, 73,",Contact Person : NULL
ARC PARCEL SERVICES P. LIMITED,"opp. abad dairy- kankaria road- ahmedabad , ahmedabad","Contact No : , 25452576, 25453919, 25712635, 02718, 261490,",Contact Person : NULL
JAIPUR GOLDEN TPT. COMPANY PVT. LTD.,"gujarat ginnige mill- idgah road- ahmedabad , ahmedabad","Contact No : , 22162465, 26890689,",Contact Person : NULL
MARUTI CARGO AND CHEMICALS PVT LTD,"a73 goyal park app opp lad society vastrapur , ahmedabad","Contact No : 9427109553, ,",Contact Person : navranglal mali
HANS ROAD CARRIERS P. LIMITED,"suflam estate- narol highway- ahmedabad , ahmedabad","Contact No : 9825073976, 25731058, 25736840, 32986982,",Contact Person : NULL
PAWAN ROADWAYS PVT. LTD.,"o/s meghdoot hotel- sarangpur- ahmedabad , ahmedabad","Contact No : , 22148048, 22171728, 32931917,",Contact Person : NULL
NUTAN RAJUMANI TRANSPORT PVT. LTD.,"68- bombay deluxe ware house- ahmdeabad , ahmedabad","Contact No : 9376190689, 25731966, 32066335,",Contact Person : NULL
KALI TRANSPORT SERVICES,"306- 307- 3rd floor- isanpur- ahmedabad , ahmedabad","Contact No : 9327524885, 32992564,",Contact Person : NULL
JAY BALINATH RODWEYS,"kerla gidc bavla ahamdabad , ahmedabad","Contact No : 9898030613, , 9898030613",Contact Person : shailes
AS TRANSPORT P. LIMITED,"sf-5- swastik centre- 2nd floor narol- ahmedabad , ahmedabad","Contact No : 9376638347, 079, 32448055,",Contact Person : NULL
JAY GIRNARI TRANSPORT CO.,"9 bhoomi complex opp rilief hotel sarkhej ahmedabad , ahmedabad","Contact No : 9898499022, 9227299222, 9898499022",Contact Person : irfan sandhi
DELUXE ROADLINES P. LIMITED,"22- hira bhai market- kankaria road- ahmedabad , ahmedabad","Contact No : 9376050199, 9327553371, 25453998, 30282669,",Contact Person :
DELHI PEPSU FREIGHT CARRIER PVT LTD,"inside city mill compund- kankaria road ahmedabad , ahmedabad","Contact No : 9327035636, 9328035636, 7615857183",Contact Person : d.s.sharma
SUPREME TRANSPORT SOLUTION PVT LTD,"vsd house- 16 hirabhai market- diwan ballu bhai road- kankaria- ahmedabad , ahmedabad","Contact No : 9377734902, 7925464828,",Contact Person : mr rajiv
